Accession_number	Protein_name	GO_ID
P21580	Tumor necrosis factor alpha-induced protein 3	{'GO:0032715', 'GO:0050691', 'GO:0019900', 'GO:0043130', 'GO:0045824', 'GO:0050869', 'GO:0032703', 'GO:0039532', 'GO:0070301', 'GO:0008270', 'GO:2000349', 'GO:2001237', 'GO:0070536', 'GO:0002376', 'GO:2000352', 'GO:0043124', 'GO:0016579', 'GO:2000347', 'GO:0010803', 'GO:0003677', 'GO:0005829', 'GO:0090291', 'GO:0002634', 'GO:0045732', 'GO:0061043', 'GO:0042802', 'GO:0019899', 'GO:0034136', 'GO:0005737', 'GO:0005515', 'GO:0071108', 'GO:0032691', 'GO:0035871', 'GO:0004843', 'GO:0050728', 'GO:0032720', 'GO:0070062', 'GO:0002237', 'GO:0002020', 'GO:0042127', 'GO:0035872', 'GO:0070936', 'GO:0034148', 'GO:0072573', 'GO:0071222', 'GO:1902042', 'GO:0005764', 'GO:0004842', 'GO:0034144', 'GO:0048662', 'GO:0005634', 'GO:0032495', 'GO:0061578', 'GO:0002677', 'GO:0034140', 'GO:0045779', 'GO:0031397', 'GO:0070429', 'GO:0070433', 'GO:1901701', 'GO:0071947', 'GO:0001922'}
P21709	Ephrin type-A receptor 1	{'GO:0043235', 'GO:0005886', 'GO:0004714', 'GO:0019901', 'GO:0007169', 'GO:0048013', 'GO:0005524', 'GO:0051496', 'GO:0030336', 'GO:0030335', 'GO:0030155', 'GO:0004672', 'GO:0016020', 'GO:0034446', 'GO:0001954', 'GO:0001968', 'GO:0005003', 'GO:0005005', 'GO:0045766', 'GO:0004713'}
P21754	Zona pellucida sperm-binding protein 3	{'GO:2000388', 'GO:0045893', 'GO:0005886', 'GO:0045892', 'GO:0050729', 'GO:0032190', 'GO:0035803', 'GO:0048599', 'GO:2000360', 'GO:0001825', 'GO:0002922', 'GO:0007165', 'GO:0002455', 'GO:0042802', 'GO:0005515', 'GO:0032729', 'GO:0031012', 'GO:0042102', 'GO:0001809', 'GO:2000386', 'GO:0005576', 'GO:0002687', 'GO:0035805', 'GO:0140149', 'GO:0005201', 'GO:0007339', 'GO:0032753', 'GO:0048018', 'GO:0030246', 'GO:2000344', 'GO:2000368', 'GO:0035804'}
P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	{'GO:0009143', 'GO:0030502', 'GO:0004527', 'GO:0042803', 'GO:0005886', 'GO:0030643', 'GO:0030500', 'GO:0008270', 'GO:0006796', 'GO:0005524', 'GO:0032869', 'GO:0050656', 'GO:0030247', 'GO:0030318', 'GO:0009986', 'GO:0005044', 'GO:0047429', 'GO:0046872', 'GO:0055062', 'GO:0016791', 'GO:0006091', 'GO:0004551', 'GO:0005515', 'GO:0036221', 'GO:0046325', 'GO:0046034', 'GO:0030308', 'GO:0006955', 'GO:0005509', 'GO:0004528', 'GO:0030282', 'GO:0045719', 'GO:0050427', 'GO:0016020', 'GO:0005576', 'GO:0016192', 'GO:0005765', 'GO:0030505', 'GO:0016323', 'GO:0004115', 'GO:0036219', 'GO:0106177', 'GO:0016787', 'GO:0010467', 'GO:0048513', 'GO:0046627', 'GO:0003676', 'GO:0045599', 'GO:0090304', 'GO:0005158', 'GO:0033198', 'GO:0047693'}
P22891	Vitamin K-dependent protein Z	{'GO:0005796', 'GO:0006508', 'GO:0005509', 'GO:0004252', 'GO:0005576', 'GO:0005788', 'GO:0070062', 'GO:0005515', 'GO:0007596'}
P23142	Fibulin-1	{'GO:2000146', 'GO:1900025', 'GO:0070051', 'GO:0007566', 'GO:0010628', 'GO:0072378', 'GO:0030198', 'GO:0042802', 'GO:0140144', 'GO:1904237', 'GO:0044877', 'GO:0005515', 'GO:0048146', 'GO:0016504', 'GO:0031012', 'GO:0005509', 'GO:0005576', 'GO:0070062', 'GO:0001968', 'GO:0071953', 'GO:0140149', 'GO:1904188', 'GO:0005201', 'GO:0071635', 'GO:0005178', 'GO:0005604', 'GO:0070373', 'GO:0001933', 'GO:2000647', 'GO:0007162'}
P23327	Sarcoplasmic reticulum histidine-rich calcium-binding protein	{'GO:0006936', 'GO:0044325', 'GO:0030018', 'GO:0033017', 'GO:0010460', 'GO:1901899', 'GO:0051480', 'GO:0140314', 'GO:0005515', 'GO:0005783', 'GO:0051117', 'GO:0045823', 'GO:0005509', 'GO:1901844', 'GO:0033018', 'GO:1903169', 'GO:0016529', 'GO:0010881', 'GO:0002027', 'GO:0010880', 'GO:0005788'}
P23508	Colorectal mutant cancer protein	{'GO:0005829', 'GO:0005886', 'GO:0045184', 'GO:0007165', 'GO:0050680', 'GO:0005634', 'GO:0030027', 'GO:0005737', 'GO:0090090', 'GO:0005515', 'GO:0038023', 'GO:0005654', 'GO:0010633'}
P23769	Endothelial transcription factor GATA-2	{'GO:0060100', 'GO:0005654', 'GO:0045893', 'GO:0043565', 'GO:0160108', 'GO:2000178', 'GO:0008270', 'GO:0007204', 'GO:0050793', 'GO:0001223', 'GO:0061042', 'GO:0048731', 'GO:2000352', 'GO:0001764', 'GO:1902895', 'GO:0010628', 'GO:0000978', 'GO:0003677', 'GO:0009653', 'GO:0070742', 'GO:0000981', 'GO:0005737', 'GO:0045746', 'GO:0005515', 'GO:0045944', 'GO:0006357', 'GO:0010629', 'GO:0035854', 'GO:0033993', 'GO:0001228', 'GO:0045444', 'GO:1903589', 'GO:0005667', 'GO:0043536', 'GO:0045165', 'GO:0045666', 'GO:0050766', 'GO:0090050', 'GO:0001221', 'GO:0043306', 'GO:1990837', 'GO:0000122', 'GO:0030154', 'GO:0006355', 'GO:0003682', 'GO:0003700', 'GO:0005634', 'GO:0090102', 'GO:0045766', 'GO:0061629'}
P23771	Trans-acting T-cell-specific transcription factor GATA-3	{'GO:0071353', 'GO:0072182', 'GO:0045893', 'GO:0001227', 'GO:0001223', 'GO:0048485', 'GO:0060070', 'GO:2000352', 'GO:0045582', 'GO:0008285', 'GO:0006952', 'GO:0072179', 'GO:0032754', 'GO:0071356', 'GO:0006954', 'GO:0000987', 'GO:0045064', 'GO:2000679', 'GO:0005634', 'GO:0090102', 'GO:0051216', 'GO:2000146', 'GO:0160108', 'GO:0008270', 'GO:0060676', 'GO:0009967', 'GO:0042421', 'GO:0045786', 'GO:2000611', 'GO:0000981', 'GO:2000683', 'GO:0032736', 'GO:0072178', 'GO:0001822', 'GO:1990837', 'GO:0070888', 'GO:0000122', 'GO:0030154', 'GO:0006355', 'GO:0032753', 'GO:0005134', 'GO:0071837', 'GO:0048568', 'GO:0050852', 'GO:0061629', 'GO:0001806', 'GO:0009410', 'GO:0043565', 'GO:0060037', 'GO:0010719', 'GO:0030856', 'GO:0043491', 'GO:0003281', 'GO:0001823', 'GO:0060065', 'GO:1902895', 'GO:0000978', 'GO:0003677', 'GO:0003215', 'GO:0009653', 'GO:0072107', 'GO:0043627', 'GO:0001817', 'GO:0005515', 'GO:1990226', 'GO:0006357', 'GO:0009615', 'GO:0030217', 'GO:0060231', 'GO:0050728', 'GO:0045165', 'GO:0043583', 'GO:0035457', 'GO:0010467', 'GO:0000977', 'GO:0008584', 'GO:0003700', 'GO:0051897', 'GO:0005654', 'GO:0001709', 'GO:0033600', 'GO:0045892', 'GO:0050793', 'GO:0048731', 'GO:0000785', 'GO:0007165', 'GO:0042802', 'GO:0045944', 'GO:0001228', 'GO:0045471', 'GO:0003180', 'GO:0030225', 'GO:0010332', 'GO:0072676', 'GO:0010595', 'GO:0031929', 'GO:0000976', 'GO:0048646', 'GO:0002520'}
P24278	Zinc finger and BTB domain-containing protein 25	{'GO:0000978', 'GO:0000122', 'GO:0002682', 'GO:0001227', 'GO:0003700', 'GO:0005634', 'GO:0001817', 'GO:0005515', 'GO:0005654'}
P24394	Interleukin-4 receptor subunit alpha	{'GO:0005886', 'GO:0005898', 'GO:0035772', 'GO:1902107', 'GO:0007165', 'GO:0120162', 'GO:0005515', 'GO:0002532', 'GO:0019221', 'GO:0032722', 'GO:0016515', 'GO:0009897', 'GO:0006955', 'GO:0035771', 'GO:0016020', 'GO:0042531', 'GO:0043032', 'GO:0005576', 'GO:0004896', 'GO:0007259', 'GO:0016516', 'GO:0004913', 'GO:0043235'}
P25445	Tumor necrosis factor receptor superfamily member 6	{'GO:0031264', 'GO:0031265', 'GO:0071455', 'GO:0019900', 'GO:0005886', 'GO:0097049', 'GO:0008625', 'GO:0097527', 'GO:0097191', 'GO:0009986', 'GO:0005829', 'GO:0033209', 'GO:0004888', 'GO:0006924', 'GO:0007165', 'GO:0045121', 'GO:0042802', 'GO:0071260', 'GO:0036337', 'GO:0005515', 'GO:0043066', 'GO:0032872', 'GO:2001235', 'GO:0009897', 'GO:0006955', 'GO:0065003', 'GO:0016020', 'GO:0005576', 'GO:0070062', 'GO:0034198', 'GO:0038023', 'GO:0006915', 'GO:0043065', 'GO:1903428', 'GO:0005516', 'GO:0005031', 'GO:0042981'}
P25490	Transcriptional repressor protein YY1	{'GO:0005677', 'GO:0005654', 'GO:0045893', 'GO:0003723', 'GO:0001227', 'GO:0043565', 'GO:0031011', 'GO:0061052', 'GO:1990841', 'GO:0000978', 'GO:0003677', 'GO:0045739', 'GO:0051276', 'GO:0031519', 'GO:0051726', 'GO:0000785', 'GO:0006338', 'GO:0030183', 'GO:0000981', 'GO:0016604', 'GO:0048468', 'GO:0071707', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0045944', 'GO:0045995', 'GO:0001228', 'GO:0000723', 'GO:0032688', 'GO:0034644', 'GO:0060382', 'GO:0106222', 'GO:1902894', 'GO:0005667', 'GO:0140297', 'GO:0033044', 'GO:0046332', 'GO:0016363', 'GO:0000987', 'GO:1904507', 'GO:1990837', 'GO:0010225', 'GO:0000724', 'GO:0034696', 'GO:0000400', 'GO:0006275', 'GO:0000122', 'GO:0001650', 'GO:0006355', 'GO:1990904', 'GO:0006282', 'GO:0003682', 'GO:0003700', 'GO:0071347', 'GO:0005634', 'GO:0000976', 'GO:0001217', 'GO:0007283', 'GO:0006974'}
P25942	Tumor necrosis factor receptor superfamily member 5	{'GO:0031625', 'GO:1902216', 'GO:0005886', 'GO:0043410', 'GO:0090037', 'GO:0010468', 'GO:0006952', 'GO:0009986', 'GO:0043123', 'GO:0035631', 'GO:0030168', 'GO:0071260', 'GO:0019899', 'GO:0042100', 'GO:2000353', 'GO:0005515', 'GO:0045944', 'GO:0043536', 'GO:0009897', 'GO:0065003', 'GO:0006954', 'GO:0005576', 'GO:0070062', 'GO:0051094', 'GO:0002768', 'GO:0006874', 'GO:0038023', 'GO:0023035', 'GO:0050776', 'GO:0019724', 'GO:0051240', 'GO:0007259', 'GO:0042113', 'GO:0045766'}
P26010	Integrin beta-7	{'GO:0033627', 'GO:0005886', 'GO:0050839', 'GO:0003366', 'GO:0098609', 'GO:0034113', 'GO:0009986', 'GO:0034669', 'GO:0002387', 'GO:0008305', 'GO:0043113', 'GO:0050901', 'GO:0005515', 'GO:0007155', 'GO:0050900', 'GO:0007229', 'GO:0016020', 'GO:0034446', 'GO:0007160', 'GO:0070062', 'GO:0034691', 'GO:0005178', 'GO:0005925', 'GO:0043235'}
P26012	Integrin beta-8	{'GO:0016477', 'GO:0033627', 'GO:0005886', 'GO:0160108', 'GO:0098609', 'GO:0005925', 'GO:0010628', 'GO:0009986', 'GO:0009653', 'GO:0001570', 'GO:0008305', 'GO:0060674', 'GO:0010629', 'GO:1990430', 'GO:0007155', 'GO:0034686', 'GO:0007229', 'GO:0015026', 'GO:0007160', 'GO:0070062', 'GO:0030154', 'GO:0007166', 'GO:0005178', 'GO:0051216', 'GO:0045766'}
P26374	Rab proteins geranylgeranyltransferase component A 2	{'GO:0006886', 'GO:0005829', 'GO:0007264', 'GO:0006612', 'GO:0005092', 'GO:0005968', 'GO:0018344', 'GO:0005634', 'GO:0031267', 'GO:0016192', 'GO:0005654'}
P26651	mRNA decay activator protein ZFP36	{'GO:0003730', 'GO:0000165', 'GO:0045616', 'GO:0070935', 'GO:0160134', 'GO:0003723', 'GO:0019901', 'GO:0035925', 'GO:0032703', 'GO:0006402', 'GO:0042594', 'GO:0097011', 'GO:0032897', 'GO:0019957', 'GO:0005829', 'GO:0045647', 'GO:0060213', 'GO:0031072', 'GO:0000289', 'GO:0061158', 'GO:0003729', 'GO:1900016', 'GO:0031086', 'GO:0046872', 'GO:0035278', 'GO:0045600', 'GO:0019899', 'GO:0005737', 'GO:0044877', 'GO:0005515', 'GO:0009611', 'GO:1900153', 'GO:0071356', 'GO:1905869', 'GO:0000288', 'GO:0010494', 'GO:0038066', 'GO:1904582', 'GO:0061014', 'GO:0032680', 'GO:0010837', 'GO:0071385', 'GO:0044344', 'GO:1902172', 'GO:0070063', 'GO:0051028', 'GO:0071889', 'GO:0071222', 'GO:0000122', 'GO:0071364', 'GO:2000637', 'GO:0030014', 'GO:1990904', 'GO:0017148', 'GO:1904246', 'GO:0000932', 'GO:0005634', 'GO:0000900', 'GO:0043488', 'GO:1901835'}
P26842	CD27 antigen	{'GO:0045579', 'GO:0043066', 'GO:0009897', 'GO:0090717', 'GO:0007166', 'GO:0016064', 'GO:0004888', 'GO:1901224', 'GO:0005886', 'GO:0160162', 'GO:0043027', 'GO:0046330', 'GO:0005576', 'GO:0005515', 'GO:0042110', 'GO:0045582', 'GO:0097191', 'GO:0009986'}
P26927	Hepatocyte growth factor-like protein	{'GO:0006508', 'GO:2000479', 'GO:0031012', 'GO:0030971', 'GO:0046425', 'GO:0045721', 'GO:0005576', 'GO:0005515'}
P27037	Activin receptor type-2A	{'GO:0034673', 'GO:0016362', 'GO:0071363', 'GO:0005886', 'GO:0045648', 'GO:0017002', 'GO:0032924', 'GO:0005524', 'GO:0009986', 'GO:0007389', 'GO:0004675', 'GO:0045669', 'GO:0032927', 'GO:0048185', 'GO:0098821', 'GO:0016361', 'GO:0042802', 'GO:0005737', 'GO:0005515', 'GO:0045944', 'GO:0030501', 'GO:0032502', 'GO:0030509', 'GO:0019838', 'GO:0071773', 'GO:0001934', 'GO:0004672', 'GO:0015026', 'GO:0016020', 'GO:0030279', 'GO:0034711', 'GO:0060391', 'GO:0007178', 'GO:0048179', 'GO:0001649', 'GO:0030165', 'GO:0004674', 'GO:0043235'}
P27918	Properdin	{'GO:0006956', 'GO:0030141', 'GO:0098548', 'GO:0006955', 'GO:0045958', 'GO:0035580', 'GO:0042742', 'GO:1904724', 'GO:1903028', 'GO:0005576', 'GO:0005788', 'GO:0050821', 'GO:0005515', 'GO:0050778', 'GO:0006957'}
P28698	Myeloid zinc finger 1	{'GO:0000978', 'GO:0001228', 'GO:0042803', 'GO:0000122', 'GO:0006355', 'GO:0045944', 'GO:0001227', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0042802', 'GO:0005515', 'GO:0005654'}
P28799	Progranulin	{'GO:0008083', 'GO:0060266', 'GO:0045824', 'GO:0005886', 'GO:0003723', 'GO:0007040', 'GO:0050793', 'GO:0150053', 'GO:0007041', 'GO:0050821', 'GO:0002282', 'GO:0051130', 'GO:0002265', 'GO:0005770', 'GO:0043524', 'GO:0005802', 'GO:0099558', 'GO:0007042', 'GO:0031982', 'GO:0007165', 'GO:0035578', 'GO:0005515', 'GO:1903979', 'GO:0030335', 'GO:1905247', 'GO:0050728', 'GO:0050727', 'GO:0005783', 'GO:0106016', 'GO:0043525', 'GO:0051087', 'GO:0051649', 'GO:0016020', 'GO:0005576', 'GO:1905673', 'GO:0005765', 'GO:0070062', 'GO:1903334', 'GO:0005764', 'GO:0005794', 'GO:0010595', 'GO:0008284', 'GO:0048680', 'GO:0050679', 'GO:1900426', 'GO:0005768', 'GO:0045766', 'GO:1902564'}
P28908	Tumor necrosis factor receptor superfamily member 8	{'GO:0043065', 'GO:0005886', 'GO:0004888', 'GO:0007165', 'GO:0032760', 'GO:0071260', 'GO:0005737', 'GO:0032759', 'GO:0070062', 'GO:0005515', 'GO:0002020', 'GO:0008285'}
P29122	Proprotein convertase subtilisin/kexin type 6	{'GO:0005796', 'GO:0005886', 'GO:0032940', 'GO:0004175', 'GO:0009986', 'GO:0048406', 'GO:0005515', 'GO:0008236', 'GO:0034369', 'GO:0005783', 'GO:0030510', 'GO:0016486', 'GO:0031012', 'GO:0008201', 'GO:0016020', 'GO:0005576', 'GO:0009100', 'GO:0005794', 'GO:0004252', 'GO:0012505', 'GO:0016485', 'GO:0032902', 'GO:0006508'}
P29279	CCN family member 2	{'GO:0005886', 'GO:0160108', 'GO:0005520', 'GO:0050793', 'GO:0045597', 'GO:0008544', 'GO:0051496', 'GO:0007165', 'GO:0070374', 'GO:0046330', 'GO:0005515', 'GO:0009611', 'GO:0007155', 'GO:0031012', 'GO:0008201', 'GO:0005576', 'GO:0140149', 'GO:0001649', 'GO:0005178'}
P29317	Ephrin type-A receptor 2	{'GO:0043535', 'GO:0043235', 'GO:0016477', 'GO:0005886', 'GO:0004714', 'GO:0070309', 'GO:0007169', 'GO:0030316', 'GO:0005524', 'GO:0048013', 'GO:0070160', 'GO:0009986', 'GO:0010591', 'GO:0006950', 'GO:0048870', 'GO:0030027', 'GO:1903348', 'GO:0033598', 'GO:0005515', 'GO:0070848', 'GO:0072659', 'GO:0030335', 'GO:0030054', 'GO:0031258', 'GO:0032587', 'GO:0030334', 'GO:0030155', 'GO:0046058', 'GO:0019838', 'GO:0140677', 'GO:0045765', 'GO:0004672', 'GO:0045296', 'GO:0016020', 'GO:0060444', 'GO:0001525', 'GO:0030216', 'GO:0060326', 'GO:0005003', 'GO:0046849', 'GO:0008630', 'GO:1903078', 'GO:0048513', 'GO:0031256', 'GO:0030855', 'GO:0001649', 'GO:0070372', 'GO:0005925', 'GO:0033629', 'GO:0004713'}
P29320	Ephrin type-A receptor 3	{'GO:0016477', 'GO:0005886', 'GO:0004714', 'GO:0010719', 'GO:0007169', 'GO:0048013', 'GO:0005524', 'GO:0045806', 'GO:0005769', 'GO:0018108', 'GO:0032956', 'GO:0071300', 'GO:0005515', 'GO:0030425', 'GO:0004672', 'GO:0005004', 'GO:0016020', 'GO:0005576', 'GO:0010717', 'GO:0070507', 'GO:0005003', 'GO:0022407', 'GO:0005005', 'GO:0097155', 'GO:0007411', 'GO:0051893', 'GO:0097156', 'GO:0010976', 'GO:1903078', 'GO:0004713'}
P29376	Leukocyte tyrosine kinase receptor	{'GO:0043235', 'GO:0005886', 'GO:0004714', 'GO:0007169', 'GO:0005524', 'GO:0007165', 'GO:0071300', 'GO:0005515', 'GO:0043066', 'GO:0006468', 'GO:0045664', 'GO:0004672', 'GO:0008283', 'GO:0038083', 'GO:0016020', 'GO:0030298', 'GO:0042127', 'GO:0010666', 'GO:0010976', 'GO:0051897', 'GO:0004713'}
P29558	RNA-binding motif, single-stranded-interacting protein 1	{'GO:0003730', 'GO:0003690', 'GO:0005829', 'GO:0006396', 'GO:0010608', 'GO:0003723', 'GO:1990904', 'GO:0005634', 'GO:0003676', 'GO:0003697', 'GO:0006260', 'GO:0005515', 'GO:0008143'}
P29590	Protein PML	{'GO:0031625', 'GO:0042752', 'GO:0045893', 'GO:0008285', 'GO:0030578', 'GO:0016604', 'GO:0032938', 'GO:0030155', 'GO:0030308', 'GO:0032206', 'GO:0046982', 'GO:0016363', 'GO:2001238', 'GO:0043153', 'GO:0008630', 'GO:0019789', 'GO:0005634', 'GO:0000781', 'GO:0010522', 'GO:0008270', 'GO:0060058', 'GO:0001666', 'GO:0050821', 'GO:2000779', 'GO:0003713', 'GO:0032211', 'GO:0051726', 'GO:0006338', 'GO:0016605', 'GO:0042771', 'GO:0032183', 'GO:0051457', 'GO:0050897', 'GO:0090402', 'GO:0006355', 'GO:0051246', 'GO:0042803', 'GO:0044790', 'GO:0030330', 'GO:0016925', 'GO:0045087', 'GO:0060090', 'GO:1904816', 'GO:0005829', 'GO:0046872', 'GO:0005737', 'GO:0005515', 'GO:0045930', 'GO:0043161', 'GO:0010761', 'GO:0005730', 'GO:0065003', 'GO:0046332', 'GO:0031901', 'GO:2000059', 'GO:0006915', 'GO:0045184', 'GO:0005654', 'GO:0032922', 'GO:0045892', 'GO:0005789', 'GO:0140374', 'GO:0042802', 'GO:0016525', 'GO:0010629', 'GO:0048146', 'GO:0032691', 'GO:2001235', 'GO:1901798', 'GO:0090398', 'GO:0031965', 'GO:0034504', 'GO:0032469', 'GO:0006605', 'GO:0032692', 'GO:0061659', 'GO:0034097', 'GO:0002230'}
P30203	T-cell differentiation antigen CD6	{'GO:0070891', 'GO:0005886', 'GO:0019901', 'GO:0031663', 'GO:0001772', 'GO:0009986', 'GO:0005044', 'GO:0042802', 'GO:0032496', 'GO:0002438', 'GO:0005515', 'GO:1900017', 'GO:0042102', 'GO:0001530', 'GO:0016020', 'GO:0005576', 'GO:0016192', 'GO:0001771', 'GO:0042101', 'GO:0007157'}
P30260	Cell division cycle protein 27 homolog	{'GO:0140767', 'GO:0051445', 'GO:0051301', 'GO:0072686', 'GO:0007346', 'GO:0005829', 'GO:0005819', 'GO:0005680', 'GO:0005737', 'GO:0005515', 'GO:0141198', 'GO:0031145', 'GO:0016567', 'GO:0070936', 'GO:0070979', 'GO:0005813', 'GO:0005634', 'GO:0007091', 'GO:0019903', 'GO:0005654'}
P31268	Homeobox protein Hox-A7	{'GO:0002686', 'GO:0045892', 'GO:0043565', 'GO:0009952', 'GO:0000978', 'GO:0003677', 'GO:0000785', 'GO:0045617', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0045944', 'GO:0001228', 'GO:0001953', 'GO:0140297', 'GO:1990837', 'GO:0001525', 'GO:0000122', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005654', 'GO:0045656'}
P31273	Homeobox protein Hox-C8	{'GO:0003677', 'GO:1990837', 'GO:0000977', 'GO:0000785', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
P32926	Desmoglein-3	{'GO:0007015', 'GO:1903753', 'GO:0005886', 'GO:0098609', 'GO:0001533', 'GO:1904704', 'GO:0070160', 'GO:0005829', 'GO:0070161', 'GO:0005911', 'GO:1903348', 'GO:0031647', 'GO:0005737', 'GO:0030336', 'GO:0005515', 'GO:0007156', 'GO:0030057', 'GO:0007155', 'GO:0030054', 'GO:0005509', 'GO:0120192', 'GO:1905477', 'GO:0016020', 'GO:0070062', 'GO:0034333', 'GO:0002159', 'GO:0005923', 'GO:0046983'}
P32942	Intercellular adhesion molecule 3	{'GO:0005102', 'GO:0007229', 'GO:0006955', 'GO:0005886', 'GO:0048018', 'GO:0033079', 'GO:0033631', 'GO:0005178', 'GO:0098609', 'GO:0016020', 'GO:0007159', 'GO:0005576', 'GO:0070062', 'GO:0005515', 'GO:0007155'}
P35354	Prostaglandin G/H synthase 2	{'GO:0042803', 'GO:0090271', 'GO:0005789', 'GO:0071636', 'GO:0042759', 'GO:0046457', 'GO:0043005', 'GO:0008217', 'GO:0090336', 'GO:0090362', 'GO:0010575', 'GO:0005637', 'GO:0019899', 'GO:0005737', 'GO:0005515', 'GO:0004666', 'GO:0006979', 'GO:0071471', 'GO:0071456', 'GO:0031394', 'GO:0043066', 'GO:0050727', 'GO:0019371', 'GO:0005783', 'GO:0004601', 'GO:0090050', 'GO:0001516', 'GO:0050873', 'GO:0019372', 'GO:0150077', 'GO:0045429', 'GO:1902219', 'GO:0031622', 'GO:0016705', 'GO:0020037', 'GO:0098869', 'GO:0016701', 'GO:0005788', 'GO:0005640', 'GO:0016702'}
P35443	Thrombospondin-4	{'GO:0034976', 'GO:0034103', 'GO:0071603', 'GO:0016525', 'GO:0048266', 'GO:0090023', 'GO:0005515', 'GO:0001938', 'GO:0007155', 'GO:1990341', 'GO:0005783', 'GO:0051451', 'GO:0031012', 'GO:0005509', 'GO:0008201', 'GO:0005576', 'GO:0070062', 'GO:0005201', 'GO:0016529', 'GO:0005178', 'GO:0005604'}
P35789	Zinc finger protein 93	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0008270', 'GO:0003700', 'GO:0000981', 'GO:0005634', 'GO:0010526', 'GO:0006357', 'GO:0005654'}
P36269	Glutathione hydrolase 5 proenzyme	{'GO:0006751', 'GO:0006520', 'GO:0005886', 'GO:0006749', 'GO:0006631', 'GO:0006954', 'GO:1901750', 'GO:0016020', 'GO:0036374', 'GO:0006508', 'GO:0002951', 'GO:0000048'}
P36406	E3 ubiquitin-protein ligase TRIM23	{'GO:0000139', 'GO:0061630', 'GO:0005886', 'GO:0010508', 'GO:0008270', 'GO:0008047', 'GO:0042802', 'GO:0005737', 'GO:0005515', 'GO:0003924', 'GO:0006886', 'GO:0019003', 'GO:0016567', 'GO:0005765', 'GO:0016192', 'GO:0005525', 'GO:0004842', 'GO:0000932', 'GO:0005634', 'GO:0012505'}
P36508	Zinc finger protein 76	{'GO:0000978', 'GO:0001228', 'GO:1990837', 'GO:0000122', 'GO:0000785', 'GO:0045944', 'GO:0001227', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0006359', 'GO:0005515', 'GO:0006357', 'GO:0005694'}
P36941	Tumor necrosis factor receptor superfamily member 3	{'GO:0031625', 'GO:0005886', 'GO:0036145', 'GO:0002947', 'GO:0048534', 'GO:0043123', 'GO:0007165', 'GO:0046330', 'GO:0042802', 'GO:0071260', 'GO:0060544', 'GO:0005515', 'GO:0042110', 'GO:0006955', 'GO:0032479', 'GO:0016020', 'GO:2001238', 'GO:0006915', 'GO:0005794', 'GO:0007250'}
P36980	Complement factor H-related protein 2	{'GO:0006956', 'GO:0045917', 'GO:0001851', 'GO:0032991', 'GO:0042802', 'GO:0005576', 'GO:0005515'}
P37023	Activin receptor type-1-like	{'GO:0043535', 'GO:0043537', 'GO:0071363', 'GO:0045602', 'GO:0045893', 'GO:0005886', 'GO:0045747', 'GO:0005024', 'GO:0019901', 'GO:0001946', 'GO:0045603', 'GO:0045597', 'GO:0001936', 'GO:0035313', 'GO:0032332', 'GO:0005524', 'GO:0001937', 'GO:0032924', 'GO:0035912', 'GO:0051895', 'GO:0008217', 'GO:0008285', 'GO:0070724', 'GO:0009986', 'GO:0060562', 'GO:0004675', 'GO:0060841', 'GO:0060840', 'GO:0007165', 'GO:0048185', 'GO:0060836', 'GO:1903348', 'GO:0098821', 'GO:0016361', 'GO:0008015', 'GO:0003203', 'GO:0030336', 'GO:0030513', 'GO:0005515', 'GO:0045944', 'GO:0001938', 'GO:0010629', 'GO:0030858', 'GO:0001955', 'GO:2000026', 'GO:0050431', 'GO:0030509', 'GO:0030308', 'GO:0071773', 'GO:0046332', 'GO:0004672', 'GO:0002043', 'GO:0007179', 'GO:0009953', 'GO:0071560', 'GO:0016020', 'GO:0001525', 'GO:0061298', 'GO:0061154', 'GO:0001974', 'GO:0006275', 'GO:0010596', 'GO:0007507', 'GO:0006355', 'GO:0030154', 'GO:0051240', 'GO:0007178', 'GO:0060391', 'GO:0072359', 'GO:0005025', 'GO:0045446', 'GO:0004674', 'GO:0007162'}
