accession	start	end	domain
Q6ZN19	537	559	Zinc finger, C2H2 type
Q6ZN19	593	615	Zinc finger, C2H2 type
Q6ZN19	621	643	Zinc finger, C2H2 type
Q6ZN19	649	671	Zinc finger, C2H2 type
Q6ZN19	677	699	Zinc finger, C2H2 type
Q6ZN19	705	727	Zinc finger, C2H2 type
Q6ZN19	733	755	Zinc finger, C2H2 type
Q6ZN19	761	783	Zinc finger, C2H2 type
Q6ZN19	425	447	C2H2-type zinc finger
Q7Z7B7	26	56	Beta defensin
Q9UQ16	34	207	Dynamin family
Q9UQ16	215	501	Dynamin central region
Q9UQ16	526	628	PH domain
Q9UQ16	656	744	Dynamin GTPase effector domain
Q14152	9	401	eIF3a, PCI domain, TPR-like region
Q14152	416	494	PCI domain
Q13093	49	416	Platelet-activating factor acetylhydrolase, isoform II
Q9GZK6	34	306	Olfactory receptor
Q2M296	10	207	5-formyltetrahydrofolate cyclo-ligase family
Q2M296	308	372	RNA recognition motif
Q16706	166	498	Glycosyl hydrolases family 38 N-terminal domain
Q16706	502	603	Alpha mannosidase middle domain
Q16706	683	720	Lysosomal alpha-mannosidase-like, central domain
Q16706	760	964	Glycosyl hydrolases family 38 C-terminal domain
P15927	166	262	Replication protein A C terminal
Q9BWT3	20	213	Poly(A) polymerase nucleotidyltransferase domain
Q9BWT3	218	362	Poly(A) polymerase central domain
Q9BWT3	365	430	Poly(A) polymerase predicted RNA binding domain
O60684	113	154	Armadillo/beta-catenin-like repeat
O60684	157	195	Armadillo/beta-catenin-like repeat
O60684	200	239	Armadillo/beta-catenin-like repeat
O60684	245	281	Armadillo/beta-catenin-like repeat
O60684	284	322	Armadillo/beta-catenin-like repeat
O60684	328	365	Armadillo/beta-catenin-like repeat
O60684	367	406	Armadillo/beta-catenin-like repeat
O60684	410	449	Armadillo/beta-catenin-like repeat
O60684	13	102	Importin beta binding domain
O60684	464	514	Atypical Arm repeat
Q8NBT0	12	46	WD domain, G-beta repeat
Q8NBT0	55	88	WD domain, G-beta repeat
Q8NBT0	97	130	WD domain, G-beta repeat
Q8NBT0	136	173	WD domain, G-beta repeat
Q8NBT0	178	215	WD domain, G-beta repeat
Q8NBT0	221	255	WD domain, G-beta repeat
Q8NBT0	261	298	WD domain, G-beta repeat
P00709	20	139	C-type lysozyme/alpha-lactalbumin family
P24593	27	80	Insulin-like growth factor binding protein
P24593	192	263	Thyroglobulin type-1 repeat
Q6PIF6	1508	1562	Variant SH3 domain
Q6PIF6	1094	1190	MyTH4 domain
Q6PIF6	1694	1791	MyTH4 domain
Q6PIF6	765	783	IQ calmodulin-binding motif
Q6PIF6	787	807	IQ calmodulin-binding motif
Q6PIF6	836	852	IQ calmodulin-binding motif
Q6PIF6	856	876	IQ calmodulin-binding motif
Q6PIF6	1408	1502	Myosin-X FERM PH domain-like
Q6PIF6	7	55	Myosin VII N-terminal beta barrel domain
Q6PIF6	67	748	Myosin head (motor domain)
Q6PIF6	1195	1289	RA like domain
Q6PIF6	1910	2012	FERM central domain
Q9Y210	489	768	Calcium channel YVC1-like, C-terminal
Q9Y210	253	315	Transient receptor ion channel II
Q9Y210	104	183	Ankyrin repeats (3 copies)
Q8NBZ0	10	57	INO80 complex subunit E
Q9Y258	32	87	Small cytokines (intecrine/chemokine), interleukin-8 like
P62847	5	95	Ribosomal protein S24e
O75096	481	520	Low-density lipoprotein receptor repeat class B
O75096	523	563	Low-density lipoprotein receptor repeat class B
O75096	566	607	Low-density lipoprotein receptor repeat class B
O75096	610	649	Low-density lipoprotein receptor repeat class B
O75096	785	825	Low-density lipoprotein receptor repeat class B
O75096	828	866	Low-density lipoprotein receptor repeat class B
O75096	871	912	Low-density lipoprotein receptor repeat class B
O75096	915	954	Low-density lipoprotein receptor repeat class B
O75096	957	996	Low-density lipoprotein receptor repeat class B
O75096	1093	1132	Low-density lipoprotein receptor repeat class B
O75096	1136	1176	Low-density lipoprotein receptor repeat class B
O75096	1179	1219	Low-density lipoprotein receptor repeat class B
O75096	1397	1437	Low-density lipoprotein receptor repeat class B
O75096	1441	1480	Low-density lipoprotein receptor repeat class B
O75096	1483	1524	Low-density lipoprotein receptor repeat class B
O75096	1527	1563	Low-density lipoprotein receptor repeat class B
O75096	1006	1043	Coagulation Factor Xa inhibitory site
O75096	1313	1348	Coagulation Factor Xa inhibitory site
O75096	26	66	Low-density lipoprotein receptor domain class A
O75096	70	105	Low-density lipoprotein receptor domain class A
O75096	109	142	Low-density lipoprotein receptor domain class A
O75096	147	182	Low-density lipoprotein receptor domain class A
O75096	190	225	Low-density lipoprotein receptor domain class A
O75096	230	265	Low-density lipoprotein receptor domain class A
O75096	269	304	Low-density lipoprotein receptor domain class A
O75096	311	349	Low-density lipoprotein receptor domain class A
O75096	377	398	Complement Clr-like EGF-like
Q02556	203	381	Interferon-regulatory factor 3
Q02556	9	113	Interferon regulatory factor transcription factor
Q7LGA3	72	320	Sulfotransferase family
Q9UNX4	805	907	Dip2/Utp12 Family
Q9UNX4	37	220	WDR3 first beta-propeller domain
Q9UNX4	417	709	WDR3 second beta-propeller domain
Q9BZL3	1	60	Small integral membrane protein 3
O14910	29	82	L27 domain
O14910	109	186	PDZ domain
Q08881	119	147	BTK motif
Q08881	7	109	PH domain
Q08881	177	223	SH3 domain
Q08881	363	612	Protein tyrosine and serine/threonine kinase
Q08881	239	323	SH2 domain
P39086	54	397	Receptor family ligand binding region
P39086	576	846	Ligand-gated ion channel
P39086	448	560	Ligated ion channel L-glutamate- and glycine-binding site
Q53RD9	140	170	EGF-like domain
Q53RD9	240	268	Coagulation Factor Xa inhibitory site
Q53RD9	95	134	Sushi repeat (SCR repeat)
Q53RD9	336	436	Fibulin C-terminal Ig-like domain
Q53RD9	270	313	Calcium-binding EGF domain
Q9H0B8	62	200	Cysteine-rich secretory protein family
Q9H0B8	288	379	LCCL domain
Q9H0B8	389	484	LCCL domain
A8MPP1	694	881	Helicase C-terminal domain
A8MPP1	234	417	DEAD_2
Q8IZ07	156	469	ANKRD13 C-terminal
Q8IZ07	13	97	Ankyrin repeats (3 copies)
Q13360	298	323	Zinc-finger double domain
Q13360	452	474	C2H2-type zinc finger
Q13360	340	362	Zinc finger, C2H2 type
Q13360	368	390	Zinc finger, C2H2 type
Q13360	396	418	Zinc finger, C2H2 type
Q13360	424	446	Zinc finger, C2H2 type
Q13360	13	54	KRAB box
Q96DG6	31	244	Dienelactone hydrolase family
Q6ZNF0	32	124	Purple acid Phosphatase, N-terminal domain
Q6ZNF0	362	423	Iron/zinc purple acid phosphatase-like protein C
Q6ZNF0	135	337	Calcineurin-like phosphoesterase
B4DZS4	57	486	T-complex protein 11
Q96B23	67	225	E3 ubiquitin-protein ligase Arkadia N-terminus
Q6DJT9	34	56	C2H2-type zinc finger
Q6DJT9	152	172	C2H2-type zinc finger
Q6DJT9	65	86	Zinc finger, C2H2 type
Q6DJT9	121	143	Zinc finger, C2H2 type
Q6DJT9	185	207	Zinc finger, C2H2 type
Q6DJT9	213	236	Zinc finger, C2H2 type
Q9H204	43	143	Mediator complex subunit 28
Q8TDW0	1	338	Pannexin-like TM region of LRRC8
Q8TDW0	637	695	Leucine rich repeat
Q8IYD1	201	400	Elongation factor Tu GTP binding domain
Q8IYD1	443	510	Elongation factor Tu domain 2
Q8IYD1	47	64	Ataxin-2 C-terminal region
Q8IYD1	522	620	GTP-eEF1A C-terminal domain-like
Q8N122	558	587	HEAT repeat
Q8N122	604	627	HEAT repeat
Q8N122	55	206	Raptor N-terminal CASPase like domain
Q8N122	1164	1194	WD domain, G-beta repeat
O00566	25	594	Mpp10 protein
Q6QNY0	16	187	Biogenesis of lysosome-related organelles complex 1 subunit 3
Q969L4	20	83	LSM domain
O14787	32	98	Importin-beta N-terminal domain
O14787	408	462	HEAT-like repeat
O14787	663	763	Importin subunit beta-1-like, TPR repeats
O14787	215	243	HEAT repeat
Q8IUH5	64	152	Ankyrin repeats (3 copies)
Q8IUH5	161	255	Ankyrin repeats (3 copies)
Q8IUH5	438	569	DHHC palmitoyltransferase
P14210	499	716	Trypsin
P14210	128	206	Kringle domain
P14210	211	288	Kringle domain
P14210	305	383	Kringle domain
P14210	391	469	Kringle domain
P14210	42	123	PAN domain
Q8NEZ4	4546	4604	F/Y-rich N-terminus
Q8NEZ4	4782	4887	SET domain
Q8NEZ4	4608	4692	F/Y rich C-terminus
Q8NEZ4	4401	4498	PHD-zinc-finger like domain
Q8NEZ4	252	330	PHD-like zinc-binding domain
Q8NEZ4	344	388	PHD-finger
Q8NEZ4	391	435	PHD-finger
Q8NEZ4	960	1007	PHD-finger
Q8NEZ4	1010	1054	PHD-finger
Q4KWH8	601	711	Phosphatidylinositol-specific phospholipase C, Y domain
Q4KWH8	733	835	C2 domain
Q4KWH8	301	445	Phosphatidylinositol-specific phospholipase C, X domain
Q4KWH8	207	292	Phosphoinositide-specific phospholipase C, efhand-like
Q4KWH8	16	127	Pleckstrin homology domain
P49116	373	566	Ligand-binding domain of nuclear hormone receptor
P49116	116	183	Double treble clef zinc finger, C4 type
Q9H7M6	804	980	ZSWIM4-8, C-terminal
Q99437	52	111	ATP synthase subunit C
Q99437	138	196	ATP synthase subunit C
Q96QD5	50	134	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Q96QD5	468	510	Target of ERK kinase mpk-1 C-terminal domain
A8MU46	381	481	Calponin homology (CH) domain
Q8IWD4	141	279	Coiled-coil domain-containing protein 117
Q96SU4	4	98	PH domain
Q96SU4	378	671	Oxysterol-binding protein
Q96SU4	677	725	Oxysterol-binding protein
Q99075	152	196	Proheparin-binding EGF-like growth factor C-terminal domain
Q8IY81	24	200	FtsJ-like methyltransferase
Q8IY81	640	839	Spb1 C-terminal domain
Q8IY81	232	400	Ribosomal RNA methyltransferase Spb1, DUF3381
Q13564	13	530	ThiF family
P27352	9	307	Eukaryotic cobalamin-binding protein
P23786	52	642	Choline/Carnitine o-acyltransferase
Q9NYV6	55	584	RNA polymerase I specific transcription initiation factor RRN3
P05177	42	493	Cytochrome P450
P20265	355	411	Homeodomain
P20265	266	336	Pou domain - N-terminal to homeobox domain
Q8TAF8	25	202	Lipoma HMGIC fusion partner-like protein
Q9P272	50	139	Methyltransferase domain
Q9P1Q0	737	866	Vps54-like protein
Q9P1Q0	207	355	Vacuolar-sorting protein 54, of GARP complex
Q9HCE1	291	357	Helicase MOV-10, helical domain
Q9HCE1	700	921	AAA domain
Q9HCE1	11	76	Helicase MOV-10, N-terminal
Q9HCE1	114	241	Helicase MOV-10, Ig-like domain
Q9HCE1	499	569	AAA domain
Q9HCE1	610	690	AAA domain
Q9HCE1	358	447	Helicase MOV-10, beta-barrel domain
Q9Y3C6	14	162	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q3KP66	87	216	Cytohesin Ubiquitin Protein Inducing Domain
Q6YHK3	1310	1396	A-macroglobulin receptor binding domain
Q6YHK3	897	1194	A-macroglobulin TED domain
Q6YHK3	223	300	Macroglobulin domain MG3
Q6YHK3	131	221	MG2 domain
Q6YHK3	693	782	Alpha-2-macroglobulin family
Q6YHK3	468	599	Alpha-2-macroglobulin bait region domain
Q8WXS5	18	222	PMP-22/EMP/MP20/Claudin family
O95633	99	119	Follistatin/Osteonectin-like EGF domain
O95633	36	96	Follistatin, N-terminal
O95633	120	167	Kazal-type serine protease inhibitor domain
O95633	199	243	Kazal-type serine protease inhibitor domain
Q9NWM3	47	88	CUE domain
Q96S96	86	163	Phosphatidylethanolamine-binding protein
A0A075B6J6	27	108	Immunoglobulin V-set domain
Q92496	24	84	Sushi repeat (SCR repeat)
Q92496	96	145	Sushi repeat (SCR repeat)
Q92496	158	204	Sushi repeat (SCR repeat)
Q92496	211	265	Sushi repeat (SCR repeat)
Q92496	271	331	Sushi repeat (SCR repeat)
Q92496	342	392	Sushi repeat (SCR repeat)
Q92496	396	451	Sushi repeat (SCR repeat)
Q92496	458	512	Sushi repeat (SCR repeat)
Q5BKX5	123	242	Actin maturation protease-like, C-terminal domain
Q9BZM1	23	189	Group XII secretory phospholipase A2 precursor (PLA2G12)
P19021	630	659	NHL repeat
P19021	683	711	NHL repeat
P19021	779	806	NHL repeat
P19021	60	171	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
P19021	196	340	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
Q7Z5D8	109	157	Homeodomain
P13236	33	87	Small cytokines (intecrine/chemokine), interleukin-8 like
Q5VWM4	6	112	PRAME N-terminal domain
Q5VWM4	145	474	PRAME C-terminal domain
Q86UD3	71	116	RING-variant domain
P34949	170	257	Phosphomannose isomerase type I, helical insertion domain
P34949	337	381	Phosphomannose isomerase type I C-terminal
P34949	6	154	Phosphomannose isomerase type I, catalytic domain
Q9P0K7	23	109	Ankyrin repeats (3 copies)
Q9P0K7	119	149	Ankyrin repeat
Q9P0K7	171	224	Ankyrin repeats (many copies)
O14604	3	41	Thymosin beta-4 family
Q9P016	56	218	EVE domain
P09210	100	192	Glutathione S-transferase, C-terminal domain
P09210	6	77	Glutathione S-transferase, N-terminal domain
O60942	465	558	mRNA capping enzyme, C-terminal domain
O60942	58	172	Dual specificity phosphatase, catalytic domain
O60942	234	462	mRNA capping enzyme, catalytic domain
O75022	28	114	Immunoglobulin domain
O75022	233	304	Immunoglobulin domain
O75022	332	405	Immunoglobulin domain
P62917	2	90	Ribosomal Proteins L2, RNA binding N-terminal domain
P62917	98	224	Ribosomal Proteins L2, C-terminal domain
Q8N8J0	1	167	PI4-kinase N-terminal region
P30559	56	329	7 transmembrane receptor (rhodopsin family)
Q15005	55	216	Microsomal signal peptidase 25 kDa subunit (SPC25)
Q8NGD0	33	305	Olfactory receptor
P14770	54	85	Leucine rich repeat
P14770	19	50	Leucine rich repeat N-terminal domain
Q6NW40	54	123	Repulsive guidance molecule (RGM) N-terminal domain
Q6NW40	160	400	Repulsive guidance molecule (RGM) C-terminal domain
O43298	402	422	Zinc finger, C2H2 type
O43298	23	124	BTB/POZ domain
Q99941	324	385	bZIP transcription factor
Q9Y6Q5	157	422	Adaptor complexes medium subunit family
Q9Y6Q5	5	135	Clathrin adaptor complex small chain
Q8IUF1	274	374	Cobalamin synthesis protein cobW C-terminal domain
Q8IUF1	43	229	CobW/HypB/UreG, nucleotide-binding domain
Q504Q3	517	898	Ubiquitin carboxyl-terminal hydrolase
Q504Q3	58	358	PAN2 N-terminal
Q504Q3	975	1147	Exonuclease
H3BRN8	53	108	Piercer of microtubule wall 1/2
Q06546	37	119	GA-binding protein alpha chain
Q06546	319	400	Ets-domain
Q06546	171	250	Sterile alpha motif (SAM)/Pointed domain
Q5T0L3	1	225	Spermatogenesis-associated protein 46
Q13950	430	521	Runx inhibition domain
Q13950	103	230	Runt domain
Q8NGT9	30	305	Olfactory receptor
O00534	17	129	Vault protein inter-alpha-trypsin domain
O00534	296	443	von Willebrand factor type A domain
Q16563	29	231	Membrane-associating domain
Q8IXP5	55	288	POU domain class 2-associating factor 2
Q96LX8	14	54	KRAB box
Q96LX8	156	178	Zinc finger, C2H2 type
Q96LX8	184	206	Zinc finger, C2H2 type
Q96LX8	212	234	Zinc finger, C2H2 type
Q96LX8	397	419	Zinc finger, C2H2 type
O43299	320	437	AP-5 complex subunit, vesicle trafficking
O43299	1	279	AP-5 complex subunit zeta-1, TPR repeats
O43299	449	797	AP-5 complex subunit zeta-1, C-terminal TPR repeats
Q8TC90	4	219	Coiled-coil domain-containing glutamate-rich protein family 1
O95238	132	212	Sterile alpha motif (SAM)/Pointed domain
O95238	249	332	Ets-domain
Q9BSW7	200	310	C2 domain
Q9BSW7	336	441	C2 domain
P25391	568	707	Laminin B (Domain IV)
P25391	1218	1348	Laminin B (Domain IV)
P25391	23	268	Laminin N-terminal (Domain VI)
P25391	2011	2144	Laminin Domain II
P25391	270	316	Laminin EGF domain
P25391	327	385	Laminin EGF domain
P25391	397	449	Laminin EGF domain
P25391	454	500	Laminin EGF domain
P25391	708	729	Laminin EGF domain
P25391	791	846	Laminin EGF domain
P25391	849	899	Laminin EGF domain
P25391	902	948	Laminin EGF domain
P25391	951	994	Laminin EGF domain
P25391	998	1041	Laminin EGF domain
P25391	1044	1086	Laminin EGF domain
P25391	1090	1147	Laminin EGF domain
P25391	1361	1383	Laminin EGF domain
P25391	1452	1506	Laminin EGF domain
P25391	1509	1551	Laminin EGF domain
P25391	2146	2282	Laminin G domain
P25391	2333	2466	Laminin G domain
P25391	2514	2657	Laminin G domain
P25391	2743	2872	Laminin G domain
P25391	2920	3049	Laminin G domain
P25391	742	784	Laminin/attractin EGF domain
P25391	1403	1443	Laminin/attractin EGF domain
P25391	1575	1831	Laminin Domain I
Q8NH55	33	307	Olfactory receptor
Q9Y232	362	594	Enoyl-CoA hydratase/isomerase
Q9Y232	62	112	Chromo (CHRromatin Organisation MOdifier) domain
Q13608	466	594	ATPase family associated with various cellular activities (AAA)
Q13608	740	871	ATPase family associated with various cellular activities (AAA)
Q13608	191	296	PEX6 double psi barrel domain
Q13608	1	100	PEX6 N-terminal domain
P86452	135	181	BED zinc finger
P86452	267	315	BED zinc finger
P86452	581	690	ZBED1 RNase-like helical domain
P86452	868	948	hAT family C-terminal dimerisation region
Q86VQ0	100	292	Ciliary protein causing Leber congenital amaurosis disease
Q3KNT9	17	167	TMEM95 family
Q6ZW49	971	1064	BRCT domain
Q6ZW49	602	678	BRCA1 C Terminus (BRCT) domain
Q6ZW49	858	947	Regulator of Ty1 transposition protein 107 BRCT domain
Q6ZW49	103	165	twin BRCT domain
Q6ZW49	710	771	twin BRCT domain
P35858	103	158	Leucine rich repeat
P35858	195	254	Leucine rich repeat
P35858	292	350	Leucine rich repeat
P35858	387	446	Leucine rich repeat
P35858	78	97	Leucine Rich Repeat
P35858	268	289	Leucine Rich Repeat
P35858	40	73	Leucine rich repeat N-terminal domain
P43357	198	281	MAGE homology domain
P43357	5	96	Melanoma associated antigen family N terminal
P51164	7	285	Sodium / potassium ATPase beta chain
Q9UNY5	303	325	Zinc finger, C2H2 type
Q9UNY5	331	353	Zinc finger, C2H2 type
Q9UNY5	359	381	Zinc finger, C2H2 type
Q9UNY5	387	409	Zinc finger, C2H2 type
Q9UNY5	415	437	Zinc finger, C2H2 type
Q9UNY5	75	160	SCAN domain
Q6PIS1	50	472	Permease family
Q6ZPD9	56	712	Q-cell neuroblast polarisation
A0A0A0MRZ9	24	121	Immunoglobulin V-set domain
Q9BXW6	10	109	Ankyrin repeats (3 copies)
Q9BXW6	146	216	Ankyrin repeats (3 copies)
Q9BXW6	548	942	Oxysterol-binding protein
Q6WBX8	14	273	Rad9
A0A075B6I9	25	111	Immunoglobulin V-set domain
Q05707	1462	1510	Collagen triple helix repeat (20 copies)
Q05707	1514	1570	Collagen triple helix repeat (20 copies)
Q05707	1653	1705	Collagen triple helix repeat (20 copies)
Q05707	32	113	Fibronectin type III domain
Q05707	355	431	Fibronectin type III domain
Q05707	448	528	Fibronectin type III domain
Q05707	536	615	Fibronectin type III domain
Q05707	629	707	Fibronectin type III domain
Q05707	739	823	Fibronectin type III domain
Q05707	831	908	Fibronectin type III domain
Q05707	158	327	von Willebrand factor type A domain
Q05707	1032	1203	von Willebrand factor type A domain
O75995	177	229	Variant SH3 domain
O75995	21	174	SLy Proteins Associated Disordered Region
O75995	254	311	SAM domain (Sterile alpha motif)
Q9UMS4	3	54	U-box domain
Q9UMS4	68	134	Prp19/Pso4-like
Q9UMS4	216	496	Prp19 WD40 domain
Q96JG9	3339	3359	Zinc finger, C2H2 type
Q8WUT4	582	662	Fibronectin type III domain
Q8WUT4	123	178	Leucine rich repeat
Q8N4V1	12	77	Membrane magnesium transporter
A8MW92	318	414	PHD finger protein 20-like protein 1
A8MW92	673	728	PhD finger domain
A8MW92	90	123	Jumonji domain-containing protein 2A Tudor domain
Q13939	133	234	BTB And C-terminal Kelch
Q13939	18	127	BTB/POZ domain
Q13939	277	581	Calicin, beta-propeller domain
Q8N1V2	57	82	WD domain, G-beta repeat
Q8N1V2	102	141	WD domain, G-beta repeat
Q8N1V2	414	444	WD domain, G-beta repeat
Q8N1V2	456	489	WD domain, G-beta repeat
Q8N1V2	535	573	WD domain, G-beta repeat
Q8N1V2	581	614	WD domain, G-beta repeat
Q96FV2	95	233	Peptidase family C69
P29353	162	317	Phosphotyrosine interaction domain (PTB/PID)
P29353	488	559	SH2 domain
P49903	69	174	AIR synthase related protein, N-terminal domain
P49903	193	366	AIR synthase related protein, C-terminal domain
Q76FK4	10	80	RNA recognition motif
Q96E29	159	398	mTERF
C9J1S8	340	449	SPRY domain
C9J1S8	15	55	zinc finger of C3HC4-type, RING
C9J1S8	89	128	B-box zinc finger
P54802	30	116	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
P54802	130	465	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
P54802	474	733	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
Q96IY1	82	197	Kinetochore protein Mis14 like
Q6ZV50	178	446	RFX BCD domain
Q6ZV50	22	96	RFX DNA-binding domain
Q7Z4H3	24	176	HD domain
Q9UDY2	776	877	Guanylate kinase
Q9UDY2	33	116	PDZ domain
Q9UDY2	303	382	PDZ domain
Q9UDY2	516	584	PDZ domain
Q9UDY2	609	667	Variant SH3 domain
Q9C075	71	379	Intermediate filament protein
Q6NSI3	1	294	Family of FAM53
Q9NR82	127	355	Ion transport protein
Q9NR82	447	634	KCNQ voltage-gated potassium channel
Q96H20	6	225	EAP30/Vps36 family
O95433	29	158	Activator of Hsp90 ATPase, N-terminal
O95433	217	331	Activator of Hsp90 ATPase homolog 1-like protein
Q14684	9	251	Nucleolar protein,Nop52
P54826	166	240	GDNF/GAS1 domain
Q9H4E5	23	194	Ras family
P17542	188	239	Helix-loop-helix DNA-binding domain
Q6H8Q1	276	443	Putative adherens-junction anchoring region of AbLIM
Q6H8Q1	444	561	Putative adherens-junction anchoring region of AbLIM
Q6H8Q1	24	78	LIM domain
Q6H8Q1	83	135	LIM domain
Q6H8Q1	153	208	LIM domain
Q6H8Q1	212	255	LIM domain
Q6H8Q1	576	611	Villin headpiece domain
Q6ZVK1	7	215	Transmembrane protein 179/179B Claudin domain
P0DKB5	95	151	Leucine rich repeat
O43895	365	575	Metallopeptidase family M24
O43895	55	185	Creatinase/Prolidase N-terminal domain
O43895	585	648	C-terminal region of peptidase_M24
O43895	195	361	Creatinase/Prolidase N-terminal domain
P10606	13	123	Cytochrome c oxidase subunit Vb
Q12962	116	217	Transcription initiation factor TFIID 23-30kDa subunit
Q5TYX0	6	113	PRAME N-terminal domain
Q5TYX0	147	476	PRAME C-terminal domain
A5PLN9	314	408	Trafficking protein particle complex subunit 13, C-terminal
A5PLN9	172	301	Trafficking protein particle complex subunit 13, middle domain
A5PLN9	10	168	Trafficking protein particle complex subunit 13, N-terminal
P40222	170	477	Myosin-like coiled-coil protein
Q96RA2	32	306	Olfactory receptor
P0CJ77	1	24	Humanin family
O00559	168	213	RCAS1 C-terminal domain
Q6ZUJ8	11	141	Toll/interleukin-1 receptor domain
Q6ZUJ8	180	270	Dof, BCAP, and BANK (DBB) motif,
Q6ZUJ8	604	662	PIK3AP1-like, helix-turn-helix domain
Q9NRE1	98	253	Matrixin
Q8TC41	340	396	IBR domain, a half RING-finger domain
Q8TC41	419	457	IBR domain
P18859	1	97	Mitochondrial ATP synthase coupling factor 6
O75342	4	111	PLAT/LH2 domain
O75342	255	681	Lipoxygenase
Q96KX1	1	117	Protein of unknown function (DUF4522)
Q9UJW0	23	124	Dynactin p62 family
Q9UJW0	241	340	Dynactin p62 family
Q9NSY1	54	311	Protein kinase domain
Q9NSY1	893	1161	BMP-2-inducible protein kinase C-terminus
P98168	360	382	C2H2-type zinc finger
P98168	267	291	Zinc finger, C2H2 type
P98168	300	324	Zinc finger, C2H2 type
P98168	332	354	Zinc finger, C2H2 type
P98168	452	474	Zinc finger, C2H2 type
P98168	480	504	Zinc finger, C2H2 type
Q9NXC5	42	355	MIOS, WD40 repeat
Q9NXC5	394	623	MIOS, alpha-solenoid
Q9NXC5	737	859	Zinc-ribbon like family
Q8WWW0	132	171	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q8WWW0	278	363	Ras association (RalGDS/AF-6) domain
Q8WWW0	371	410	Novel Ras effector 1 C-terminal SARAH (Sav/Rassf/Hpo) domain
Q9UNA3	197	321	Alpha 1,4-glycosyltransferase conserved region
Q9UNA3	64	179	Glycosyltransferase sugar-binding region containing DXD motif
Q8WU76	412	665	Sec1 family
A0A1B0GW35	33	119	Exocyst complex component SEC3 N-terminal PIP2 binding PH
Q16829	252	383	Dual specificity phosphatase, catalytic domain
Q16829	56	180	Rhodanese-like domain
Q6B9Z1	27	108	Insulin growth factor-like family
Q2TAP0	21	133	Golgin subfamily A member 7/ERF4 family
Q92882	18	63	SH3 domain
Q92882	77	169	Ankyrin repeats (3 copies)
Q9Y6B2	4	187	EP300-interacting inhibitor of differentiation
Q96PQ5	45	169	Protein phosphatase inhibitor 2 (IPP-2)
O15254	511	687	Acyl-CoA oxidase
O15254	155	264	Acyl-CoA dehydrogenase, middle domain
O15254	302	466	Acyl-CoA oxidase, C-alpha1 domain
O75159	480	515	SOCS box
O75159	382	436	SH2 domain
O75159	147	195	Suppressor of cytokine signalling
Q17RB8	123	158	Zinc finger, C3HC4 type (RING finger)
Q17RB8	568	765	ATP-dependent protease La (LON) substrate-binding domain
Q17RB8	478	516	Zinc finger, C3HC4 type (RING finger)
O14867	24	127	BTB/POZ domain
O14867	530	606	bZIP Maf transcription factor
P61296	100	151	Helix-loop-helix DNA-binding domain
Q70IA8	35	207	Mob1/phocein family
Q9Y5J9	16	76	Tim10/DDP family zinc finger
P19634	600	685	Regulatory region of Na+/H+ exchanger NHE binds to calmodulin
P19634	110	503	Sodium/hydrogen exchanger, transmembrane
Q9UKD2	125	194	Insertion domain in 60S ribosomal protein L10P
Q9UKD2	21	119	Ribosomal protein L10
Q9Y2B4	28	246	Cellular tumour antigen p53-inducible 5
A0A494C191	109	217	Cell cycle regulatory protein
P0DTA3	109	217	Cell cycle regulatory protein
P0DUD1	109	217	Cell cycle regulatory protein
P0DUD2	109	217	Cell cycle regulatory protein
P0DUX0	109	217	Cell cycle regulatory protein
O95427	430	884	Phosphatidylinositolglycan class N (PIG-N)
O95427	46	268	Type I phosphodiesterase / nucleotide pyrophosphatase
Q4VXU2	540	605	MLLE domain
Q4VXU2	13	83	RNA recognition motif
Q4VXU2	101	167	RNA recognition motif
Q4VXU2	193	261	RNA recognition motif
Q4VXU2	296	363	RNA recognition motif
Q8IZM9	46	449	Transmembrane amino acid transporter protein
P51688	419	472	N-sulphoglucosamine sulphohydrolase, C-terminal
P51688	23	327	Sulfatase
P56539	16	146	Caveolin
P60568	7	150	Interleukin 2
Q9ULM0	580	671	PH domain
Q9ULM0	997	1096	RA like domain
Q9ULM0	880	982	MyTH4 domain
Q9ULM0	1108	1230	FERM central domain
O75884	8	178	Serine hydrolase
P0CI25	340	449	SPRY domain
P0CI25	15	55	zinc finger of C3HC4-type, RING
P0CI25	89	129	B-box zinc finger
Q9NQC7	138	201	CAP-Gly domain
Q9NQC7	478	538	CAP-Gly domain
Q9NQC7	593	889	Ubiquitin carboxyl-terminal hydrolase
Q9NQC7	308	471	Phosphorylation region of CYLD, unstructured
O75694	660	1365	Non-repetitive/WGA-negative nucleoporin C-terminal
O75694	79	508	Nup133 N terminal like
Q16602	64	129	Hormone receptor domain
Q16602	139	380	7 transmembrane receptor (Secretin family)
Q9H6N6	327	1086	Myosin tail
P24534	142	225	EF-1 guanine nucleotide exchange domain
P24534	103	130	Eukaryotic elongation factor 1 beta central acidic region
Q9H4E7	2	95	Switch-associated protein 70-like, N-terminal EF-hand domain
