Common proteins	Only by Iupred2a	Only by Aiupred
A6NDE4	Q99707	Q8N2G8
K9M1U5	A0A8I5QKY2	Q8TCP9
O43309	Q6P9B9	Q96KE9
P00747	Q96B70	Q9BTD8
P22079	A0A0B4J1W7	Q9BX26
P32239	P09564	Q9H3U1
P80370	Q6ZN03	Q9NP71
Q03403	Q9H4S2	O00139
Q17RY6	A0AAG2TU99	O15020
Q6UXH9	Q5H9M0	O60469
Q6ZVN7	Q15005	P61812
Q7Z3F1	A0AAQ5BGE0	Q14451
Q7Z6I5	I3L1E1	Q5M9Q1
Q7Z6J4	Q6NSI3	Q7Z6J6
Q8IWY8	Q8IYT8	Q7Z7L1
Q8N2W9	Q9H9P8	Q86UW6
Q8WWZ7	Q9UJ96	Q8N5L8
Q96N77	Q9UNY4	Q8WVS4
Q9NZR2	A0A6Q8PHS2	Q96PV0
Q9UDY6	P0DPF6	Q99259
Q9UHJ3	Q96HN2	Q9HA90
Q9UHR6	Q99972	Q9NXN4
A6NKU9	Q9UBC9	Q9UPU9
O43506	H3BV12	Q9Y615
O43610	P35325	P06734
O75317	Q8WU20	P0DJG4
P01133	Q9BYP9	P21980
P0CG32	Q9NRJ3	P45844
P22681	A0A2R8YD15	Q15345
P34130	P0DV76	Q6P2D8
P36941	P17483	Q7L8L6
P54278	Q6ULP2	Q7Z4S6
P54687	Q71F78	Q8N6T0
Q02156	Q9NQX5	Q8N9W5
Q14517	Q9P1A6	Q8NE62
Q5T890	A5PKW4	Q8NFZ3
Q6NUI2	O15054	Q8TCC7
Q6S8J3	P04553	Q8WXH2
Q7Z3T8	Q8TAI1	Q9BXC9
Q7Z6J8	Q96MZ4	Q9NZM3
Q86YW9	Q96NI6	Q9UHH9
Q8NI29	Q9BVS5	D3W0D1
Q92900	Q9BX10	P13500
Q9BXU1	O94827	P19525
Q9P1Z9	Q13394	P22102
Q9UKP3	Q8NEZ5	Q5VWI1
Q9UKR0	Q9BYP8	Q6X4W1
Q9Y4D8	Q9Y576	Q8NB37
Q9Y5Y9	H0YKK7	Q8WZ79
A6NN14	P0C7V0	Q96AE4
D6RJB6	P21917	Q9BYZ8
O60229	Q5TCX8	Q9H1P6
O60383	Q8WWW8	Q9NP73
O60494	A6NNA2	Q9NWS6
P09958	Q14135	Q9NYN1
P0DN87	Q96QS3	Q9UHP7
P55197	E5RHQ5	A6NJ88
Q13137	Q96JN2	O75061
Q1X8D7	Q9P209	O75596
Q5SW24	P18089	P06731
Q7Z6J0	Q7Z309	P10620
Q86UU1	Q8TAU0	P13501
Q8IUG1	Q9UHI6	P19075
Q8IZY2	Q9Y5H8	P57052
Q8N1L1	A0A1B0GUV1	P78330
Q8NAP8	A0ABB0MV52	Q14249
Q8WYQ3	Q5TA76	Q15334
Q96MH7	Q9Y6K9	Q16878
Q96NL3	C9JFL3	Q6PL18
Q9BR26	P27694	Q8NA54
Q9BTN0	Q5T5F5	Q8NCE2
Q9P107	Q6UWB4	Q96DZ1
Q9Y215	Q9NPA2	Q96EN8
Q9Y6Q2	A8MXZ1	Q96T49
A0AAG2UXS2	Q7RTX9	Q9H4I2
O75362	Q86Y91	Q9NXG2
P15514	Q9H7T3	Q9P2B2
Q07021	Q9P2H0	Q9UQR0
Q562E7	Q9UKN7	Q9Y5F8
Q86Y33	Q9Y5Q6	O14640
Q8TB22	Q5W0Q7	O15266
Q8WY41	Q641Q3	O43290
Q8WZ73	Q8IV53	P0C025
Q92832	Q8N715	Q14449
Q92876	Q9UN73	Q14807
Q96GX5	A6NIJ5	Q15389
Q9BUN1	Q00722	Q3C1V0
Q9HCU0	Q14571	Q86WK6
Q9UIF8	Q5VSD8	Q96D09
O00292	Q6UXQ8	Q96FS4
O15303	Q6ZRM9	Q96L94
O60477	Q8N0V1	Q9P0J6
O95263	Q1HG43	Q9UKJ5
P04070	Q52M75	A0A075B6J6
P22736	Q5QGZ9	A0A5F9Z9Y6
P48060	Q7Z5B4	A0A8I5KXM2
P56703	Q8NGU9	A6NDD5
Q14574	Q96A59	O76083
Q16549	Q9BUA3	O95760
Q495D7	A6NFR6	P01111
Q5TGY3	Q7Z3K6	P12018
Q6P3X8	Q86TD4	P62955
Q6ZMN7	Q8N5Q1	Q00341
Q8IZC6	Q8N888	Q15149
Q8NB12	Q9UER7	Q5JST6
Q8TDF5	Q5T5A8	Q6AI39
Q8WXD0	Q5JUK2	Q86YC3
Q96GX9	Q8IUR6	Q8ND61
Q96I82	Q8N7Q2	Q96BF6
Q9H4F8	Q8TBZ2	Q96E14
Q9NRG9	Q9BYQ5	Q96JZ2
Q9UBS5	Q9BZG8	Q96SB8
Q9UEW3	Q9GZP4	Q9BX73
Q9Y219	Q9H819	Q9BZC1
O43147	Q5T752	Q9H2U2
O95628	Q6DCA0	Q9UKI8
P49796	P35326	O43525
P78549	Q5VY09	P01718
Q14112	Q7Z7K6	P04792
Q15637	Q9P1Z0	P0DJJ0
Q15772	Q9Y2K9	Q13621
Q53RE8	P12109	Q3MIN7
Q5TA31	P78412	Q8TAM1
Q6DT37	Q7LC44	Q92614
Q6NUN9	Q8IWL1	Q9BQF6
Q6UWN5	Q8WUU5	Q9H2P9
Q6YHK3	Q9BYQ0	Q9UBI6
Q8NA97	H3BQL2	Q9UI33
Q8NAM6	O60733	Q9Y2I1
Q8NBI3	A0A140TA67	Q9Y371
Q8TC41	A0AAG2TVR5	Q9Y5E6
Q8TE02	B1AL46	O00294
Q8TF50	Q0VG99	O43395
Q92581	Q3KP66	O75607
Q92994	Q4UJ75	P51798
Q9C0B6	P48448	Q12797
Q9Y6X2	Q96JP2	Q13395
A0A286YFB4	Q9NRI5	Q14CB8
O60294	Q9ULI0	Q16553
P46934	A6NN73	Q5JTZ9
P49765	Q15052	Q6NTF7
P62745	Q9NP84	Q6WRX3
Q04912	O95177	Q86T65
Q13873	Q6L8G8	Q8N2A8
Q5VU97	Q8TAF5	Q8NA72
Q5VYP0	Q8TE04	Q96PZ2
Q86UQ0	Q92913	Q9GZM8
Q8IXS0	Q9UNW8	Q9HB21
Q8IYD8	A8MTY7	Q9NY59
Q8IZ26	B2RXH2	A8MW99
Q8NEP9	P0CJ92	O43663
Q8TCN5	Q5T442	O60462
Q8TF66	Q8NCU1	O95819
Q9BXJ7	Q6PML9	P02750
Q9H2S5	Q9BYR3	P05062
Q9H714	A6NDY2	P26045
Q9HBQ8	O15084	P29459
Q9UIF9	P60369	P48506
Q9UL36	Q96PI1	P78563
Q9Y4K3	Q9UBL0	Q12756
A6NFA0	Q6P531	Q12955
A6NK02	Q96LU7	Q16586
A8K010	A0A1W2PNU3	Q5EG05
O60281	A6NKH3	Q5TCQ9
O76095	P0DSO2	Q6P158
P41235	P61927	Q6ZN28
P51610	Q49A17	Q86Y79
Q6UXU4	Q92499	Q8IXQ6
Q7Z699	Q96RM1	Q8N4M1
Q86UA6	Q9BXT6	Q8TF44
Q86UD3	A8MXJ8	Q96EV2
Q86YN6	P0DX52	Q9HBJ7
Q8IXT1	Q05823	Q9NR80
Q8N4S0	Q15436	Q9NZU1
Q8TD94	Q5JSZ5	Q9UNX4
Q8TEP8	Q7Z3H0	A0A5F9ZHS7
Q8WY21	Q9BZA7	O14497
Q92785	A0A1B0GTR4	P05165
Q96FE7	P08218	P10147
Q96MI9	Q64LD2	P11150
Q96P64	O15255	P23378
Q9BTT6	Q7L0Q8	Q14679
Q9C0A6	O60729	Q15361
Q9H0F5	P51649	Q16576
Q9UJU3	Q13427	Q8N3X1
Q9Y4K0	Q9C098	Q8WTZ4
Q9Y4X4	Q9H8G2	Q8WXQ8
A2A3K4	Q9UK33	Q96RN5
P21291	O43603	Q9BRT2
P30307	P0DV75	Q9BUM1
P35555	P17900	Q9C0K1
P55000	Q12950	Q9H0Q0
Q14520	Q8TC71	Q9HCM7
Q58G82	O14843	O60437
Q5T0B9	P30281	P01715
Q5T749	Q5S007	P20674
Q6ZTB9	Q9Y324	P26368
Q7Z3I7	P13489	P35318
Q86T75	P35663	P36896
Q86UN3	Q9C0D6	P68543
Q8IZH2	Q9Y6S9	Q7Z3Y7
Q8N474	A8MQT2	Q8N139
Q8NCL9	O60927	Q8N365
Q8WX77	P17509	Q8N9T8
Q96H79	P35908	Q8WXF8
Q9BZ11	Q92833	Q92625
Q9NXW9	Q9H161	Q92750
Q9Y678	Q9ULW8	Q9BYU1
Q9Y6V0	Q92686	Q9H5V9
A6NGJ6	Q96NJ1	Q9NRR6
O14511		Q9P2G4
O60566		Q9P2Y5
O75312		Q9Y240
P00738		A8MYP8
P18084		O60861
Q15911		P09960
Q16587		P41134
Q494X3		Q01082
Q5IJ48		Q13423
Q6IE37		Q2KHT3
Q6UWN0		Q4VC12
Q6ZN44		Q5T5U3
Q86UK7		Q5TIE3
Q86V71		Q5W5W9
Q8IUW3		Q8NCQ5
Q8NB42		Q8NEM7
Q969Z4		Q8TEM1
Q96LW1		Q92817
Q96QV1		Q96Q05
Q9BUH8		Q96S38
Q9GZT9		Q9C0C9
Q9H270		A6NKX4
Q9NQB0		O60266
Q9P2N5		O95170
A6NF34		P50549
O15016		P54296
O75153		Q13424
O94991		Q16563
P07814		Q6NUQ4
P11047		Q8NHK3
P17027		Q8WWQ0
P23327		Q96EF0
P25391		Q96GI7
P51124		Q9P0W8
P78504		A0A1W2PRS3
P98088		O75970
Q5SYE7		O95838
Q5W186		P00441
Q6P2D0		P05026
Q7Z3S7		P06748
Q8IUB2		P13196
Q8NCL4		P43405
Q8WUU4		P54136
Q96JK4		Q14296
Q96N20		Q504Y3
Q9NSJ1		Q5H9F3
Q9ULH1		Q5M775
A4IF30		Q5VST6
A6NDI0		Q7Z6W7
O00744		Q9BTE0
O43151		Q9HA65
O95544		Q9NS64
P19174		Q9UMD9
P40205		Q9Y5E1
P56706		Q9Y6X9
P59025		P09936
Q13434		P13688
Q66K41		P17213
Q6PI77		P60893
Q7L0X0		Q12789
Q86VZ6		Q13433
Q8IXL7		Q5EE01
Q8IY33		Q5KU26
Q8N883		Q5SZK8
Q8NEN9		Q5VYS4
Q96NL1		Q6A1A2
Q96NU0		Q6P1M9
Q9H2X3		Q6P3W2
Q9H8N7		Q8IWG1
Q9ULL0		Q8IXK2
Q9ULL4		Q96EW2
Q9UQP3		Q99616
C9J2P7		Q9H3J6
O00187		Q9NX77
O94941		Q9NYP3
P00326		Q9UPW0
P13349		Q9Y225
P13942		Q9Y2W6
P17036		A2AJT9
P49454		A2RUH7
Q13308		A4FU01
Q13464		P01717
Q14416		P07585
Q16363		P52954
Q6DN72		Q2M3G4
Q6PH81		Q6J4K2
Q6UX71		Q6P9F7
Q7Z353		Q7L190
Q86SQ6		Q969F9
Q8IYX7		Q9BYX2
Q8NEA6		Q9UMX2
Q92729		O94782
Q92966		P05452
Q9BR77		P23435
Q9H4W6		P32942
Q9NWH7		P51788
Q9NY47		P53794
Q9UBT2		P59044
Q9UBZ4		Q08AD1
Q9UL68		Q29RF7
Q9ULX5		Q2NL67
Q9Y2Y9		Q3LI58
O14709		Q7RTY1
O95428		Q86XW9
P08253		Q8IUM7
P17029		Q8NHP6
P22674		Q8TBB6
Q14541		Q8WV83
Q5TH69		Q8WWZ4
Q6P9F5		Q96NJ5
Q86TJ2		Q96RE7
Q86XP1		Q9H159
Q8IZF5		Q9ULD6
Q8N2H3		O60333
Q96PM5		O75962
Q96SQ5		O94776
Q9BRR9		P58004
Q9BUB5		Q06203
Q9BXP8		Q5T447
Q9H1C7		Q709F0
Q9H1J5		Q7Z6V5
Q9H9K5		Q86UN2
Q9NSN8		Q8N7P1
Q9UHC6		Q8NBR9
Q9ULG6		Q92502
Q9Y6I4		Q96KN1
A2CJ06		Q96NY8
A6NLI5		Q9GZS1
A6NLJ0		Q9NUS5
O43900		Q9Y2L9
O95153		A4D263
O95294		A6NIU2
P0C8F1		O15040
P35052		O43683
P49901		O75914
Q01804		P08962
Q08431		P51808
Q10469		Q02809
Q15942		Q12951
Q16134		Q14442
Q16629		Q16206
Q5EBL2		Q49AG3
Q6P1J6		Q8N0V3
Q8IYL2		Q8TBY9
Q8IZP9		Q9Y448
Q8N1G0		A0A087WWS6
Q8NA31		O60716
Q8NES8		P28223
Q96KR4		P60507
Q96PT4		P62079
Q9NYY3		Q05469
Q9P1Y6		Q14954
Q9UL58		Q15022
Q9UL62		Q68EM7
Q9UM73		Q6ZSZ6
Q9Y5K2		Q76KP1
A0AAG2TUV1		Q8NA03
A6NMZ7		Q8NF91
O43149		Q8NFP4
P53804		Q8TAG9
Q3SY46		Q96I13
Q8IWV1		Q9BS91
Q8IYX0		Q9BUE6
Q8NA42		Q9NRA0
Q8NFT6		Q9UNE7
Q96BT7		Q9Y4D1
Q96C24		A0A1B0GVB3
Q96P11		A0A1B0GXF2
Q9H8U3		O60683
Q9UHF1		P0DTE7
A6NMN3		P13637
A8MYU2		P20645
O00110		P61587
P0CJ78		Q70YC5
P0DJD3		Q8TER5
P38935		Q96FN4
Q01081		Q9BQI3
Q14512		Q9GZS9
Q3SXY7		Q9H756
Q6PJI9		Q9UHF4
Q6ZMY6		Q9UN71
Q86TC9		A0A075B6J9
Q8IV45		A0AV02
Q8IYW4		B2RPK0
Q8N1Y9		O75325
Q8NG31		O95398
Q92698		P01588
Q9HAW0		Q13261
Q9NPF0		Q15029
A7XYQ1		Q15477
O75051		Q16620
P10073		Q6P4R8
P28290		Q8ND83
P52594		Q8TE73
P54198		Q92904
P78312		Q96I15
Q12901		Q9HAI6
Q13064		Q9HBM6
Q15365		Q9NPG1
Q4G112		Q9NZ56
Q5DT21		O43586
Q5SWA1		O94759
Q6N063		P12645
Q6ZVL8		P59022
Q8IZP6		P81133
Q8N2N9		Q06495
Q8NA69		Q8N9N5
Q9H0F6		Q8NHS0
Q9H2D6		Q92826
Q9H3C7		Q92985
Q9H706		Q96KW9
Q9NYB5		Q9C0B2
Q9UKA4		Q9H6Y5
Q9UNX9		Q9NP77
Q9Y2E4		Q9UKZ1
A0A0G2JLW4		A4GXA9
A2VCK2		A6NNW6
O94983		O60678
P13682		O75140
P25490		P35247
P60409		P82650
P62684		Q10471
Q04721		Q13148
Q13751		Q4KMQ2
Q3T906		Q5SRE5
Q5VTR2		Q68D85
Q6ZN04		Q6ZV60
Q86WZ6		Q8N7Z5
Q8IUL8		Q8TBM8
Q8N0Y2		Q9H7Y0
Q8N143		Q9NRD8
Q8N2R0		Q9P0V3
Q8N446		Q9UJV9
Q92547		Q9Y3D5
Q96FZ2		A0A0B4J1U7
Q96JY6		O15123
Q9BXR6		P13236
Q9BXX0		P19823
Q9C0D5		P20823
Q9NRM6		P25205
Q9UK13		Q16849
O15072		Q5BJE1
O75150		Q6ZN16
O95780		Q96JH8
P08048		Q96SN8
P08069		Q9BTZ2
P0C6A0		Q9HCM4
P49327		Q9NVU0
Q03112		Q9UJ41
Q6ZN30		Q9Y6P5
Q7Z713		O00442
Q8IZN3		P01889
Q8N8Y5		P42166
Q8NHX4		P46019
Q969S2		P98170
Q9NYF0		Q5JPE7
Q9NYJ8		Q7RTP6
Q9Y490		Q7Z794
A6NDX5		Q8IZP2
O43422		Q8N370
O94953		Q8WXD5
P04731		Q8WXI8
P21246		Q96SA4
P22105		Q9C0K7
P27701		Q9NXB0
P37173		Q9P0L0
P61968		Q9ULL1
P98153		A0A0J9YX75
Q13886		A3KMH1
Q15415		P12755
Q16651		P60022
Q5SRH9		Q5TAQ9
Q6ZMY3		Q68CZ1
Q70EL1		Q8IV13
Q7Z3K3		Q96CX2
Q86YJ5		Q96P20
Q8IZA0		Q96PN6
Q8WTV1		Q9NRM0
Q99684		Q9NVN8
Q9HCI7		Q9P2F6
Q9NY28		Q9P2S6
Q9UKJ8		Q9ULL5
Q9Y337		Q9Y3B2
A8TX70		Q9Y5E7
O15391		Q9Y6F8
O60308		O43716
O75081		P37287
P19544		P48065
P35523		P49788
P78364		Q2TB90
Q0VAF6		Q5GH77
Q13643		Q5JYT7
Q15796		Q5VW32
Q86VP1		Q7L591
Q8N3J9		Q7L8C5
Q8N475		Q7Z2Z1
Q8TCU4		Q86X95
Q8TF46		Q8N468
Q969G2		Q96EY5
Q9BUL5		Q96PX1
Q9BYN7		Q96QI5
Q9H3T3		Q9BWH6
Q9NZF1		O60346
Q9UJW0		O75665
A5YKK6		P12259
O15060		P23945
O94855		P55895
O94886		Q05932
O95391		Q5JRV8
P01877		Q5VXH4
P20151		Q8N5W8
P49747		Q8NHH9
P57727		Q969W1
P98161		Q96PB8
Q14D33		Q96QA6
Q15746		Q96T60
Q5JSP0		Q9GZU1
Q68DV7		Q9NTG7
Q6ZU52		Q9NW82
Q7L622		Q9UBV2
Q8N3T1		Q9Y4E8
Q8NEZ3		A5PLL7
Q8TDM5		O15484
Q92956		P01106
Q99676		P0CE67
Q9BRP7		P12955
Q9BWV1		P35499
Q9H0B3		P53805
Q9P278		Q04844
Q9UID6		Q15043
Q9UPR6		Q17R31
Q9Y466		Q5JWR5
A0PJX4		Q6UX46
A6NK53		Q765I0
O14525		Q7Z7M1
O60337		Q8N129
O60635		Q8N3K9
O95521		Q8NG66
O95630		Q8TD55
P01876		Q96B23
P03973		Q99518
P23458		Q9UPN6
P35348		A6NGE4
P52740		A6NHP3
P62877		A6NI56
Q0VDD8		P0DY26
Q14995		P12107
Q2M2W7		P20648
Q5VUE5		P43235
Q6ZNE5		Q01118
Q6ZR52		Q5JSJ4
Q86XN8		Q5T7B8
Q8IZ20		Q8N5H3
Q8TCT1		Q8TBK6
Q96NJ6		Q96EL1
Q9NZK7		Q96IV0
Q9P021		Q96M83
Q9UPT6		Q99704
A8K0R7		Q9BRI3
O95567		Q9H2G9
P00751		Q9NUL7
P52742		Q9NV88
Q0IIN9		H3BV60
Q13574		P01033
Q6ZSB9		P55286
Q6ZV77		P57737
Q7Z3B3		Q13634
Q8N328		Q14667
Q92802		Q7Z403
Q96FV2		Q8N187
Q96HA4		Q8TAY7
Q96I27		Q8TEA7
Q96K83		Q96J92
Q9NRX4		Q9HCE0
A2RRD8		Q9NP56
A6QL64		Q9NYI0
O14978		Q9UID3
O15399		Q9UL03
O60765		Q9Y223
O95158		Q9Y6F1
P06213		Q9Y6K8
P0DV60		A0A5F9ZH88
P17023		O75182
P48200		P54284
P54107		P85037
Q13370		P98194
Q149N8		Q13387
Q5T4S7		Q58DX5
Q6ZN08		Q8N653
Q8IWV8		Q8N6Y1
Q8NDX6		Q8NE00
Q8TE56		Q8TF76
Q8WVV4		Q96DU3
Q92622		Q96H22
Q96SZ4		Q9Y534
Q99558		Q9Y6K5
Q9BWT1		A0A0A6YYD4
Q9NWW7		A0A1W2PQ64
Q9ULW2		O43889
O43497		O60810
O95863		O94819
P0CG23		P40818
P17039		P57087
P21854		Q01780
P51508		Q4J6C6
P56199		Q5VWK5
P59046		Q6NVV7
Q13536		Q75V66
Q14956		Q7Z3E1
Q3MJ16		Q8WUN7
Q685J3		Q9BXF9
Q6ZMW2		Q9BXW7
Q8IV04		Q9P2D7
Q8N9P6		Q9Y2C4
Q8TD23		A6H8Y1
Q96AQ9		O60231
Q96Q91		P01824
Q9BXG8		Q08345
Q9C0E4		Q6PIY7
Q9NQX1		Q8IYD9
Q9UKQ9		Q8IZK6
Q9XRX5		Q96IQ7
A0JP26		Q9HCE6
O43909		Q9NQW6
P02452		Q9NRM7
P07202		Q9P2J5
P08842		Q9ULN7
P0DP57		Q9ULV0
P10646		A0AVK6
P26640		A8MT66
P29320		P02489
P41587		P04435
Q30KQ5		P21554
Q3LI83		P27544
Q6DHY5		P33121
Q6WCQ1		Q5THJ4
Q7L3V2		Q6UXV3
Q8N9X3		Q6ZTK2
Q8NA70		Q8N7X0
Q8ND94		Q8TEV9
Q8TDB6		Q8WWI5
Q8TDI0		Q8WWN8
Q8TE49		Q9NP61
Q96T92		Q9NZI5
Q99469		Q9Y4F5
Q9NPR2		A0A0B4J1U3
Q9NUL5		O00472
Q9UQ26		O75841
O43903		P14635
O95754		P28749
P25800		P35611
P51449		P50502
Q4V348		Q49AJ0
Q4VC44		Q4W5G0
Q5JZY3		Q86TA4
Q6QN14		Q86UK0
Q6ZNA1		Q8N2B8
Q86SU0		Q99645
Q86T29		Q9BUB4
Q86VW2		Q9BYJ1
Q96HE9		Q9H169
Q96T76		Q9NNX1
Q9BXU3		Q9NP80
Q9HBG6		A0A087WV62
Q9NQV6		O14879
Q9UBU2		O43172
Q9UPV7		O95255
A6QL63		P41594
O95361		P47872
O95460		Q14004
O95786		Q14938
P13385		Q15111
P32320		Q15424
Q2MV58		Q15485
Q5H9J9		Q7Z392
Q68DQ2		Q8NBU5
Q68DY1		Q96BY6
Q7Z7L9		Q9BV99
Q86UD4		Q9BZF3
Q8WV37		Q9H2I8
Q96ME7		Q9HAS3
Q96P53		Q9HBH1
Q9BY66		Q9UJY4
Q9H156		Q9ULM0
Q9UNY5		A6NFY4
A6NGD5		A6NIM6
P09486		P02778
P17098		P17540
P35442		P19235
P63128		P42858
Q02447		P57789
Q14159		Q09428
Q4G0T1		Q14C86
Q6GMV2		Q5VZ89
Q7Z5P9		Q63HQ0
Q8N690		Q6PID6
Q8NCP5		Q6PIV2
Q969Q1		Q6UB99
Q96BD5		Q86WV6
Q96JM4		Q8IVF7
Q96L96		Q8NDB2
Q99575		Q8NEX6
Q9BQB4		Q969R2
Q9NV72		Q96AZ6
Q9NVP4		Q96PB1
Q9NXR8		Q9H0E7
Q9UBG7		Q9H254
Q9UK23		Q9P1Y5
Q9ULE0		Q9P2F8
C9J798		Q9UHW5
C9JLR9		Q9UIJ5
O43313		P00739
O60503		P56524
P0C7P1		P59666
P43353		Q08499
P51523		Q8NHY0
P63215		Q96A46
Q13422		Q9BRQ6
Q14432		Q9H9Y6
Q14525		Q9NUQ8
Q3LHN2		Q9UBN4
Q5JT82		Q9UK96
Q6ZNC4		A0A087X1C5
Q6ZNG1		O15066
Q7Z333		O60293
Q86UT8		P01210
Q8N393		P10109
Q96SW2		P14784
Q9BZE0		P40692
Q9NW64		P49840
Q9NZ20		P78395
Q9UIE0		Q17R89
A0AAG2SUX2		Q6UXZ0
A6NM62		Q86WB0
A8MX34		Q8IUH5
O14492		Q96IW7
O15496		A8MTA8
O60687		P11362
P01031		P19387
P20393		P48382
P52737		Q13203
Q52M93		Q15185
Q5DID0		Q5VUJ6
Q6NUJ5		Q8N7U6
Q6ZRP0		Q96LI6
Q7L5Y9		Q96P48
Q8IX06		Q99460
Q8N680		Q99747
Q8N865		Q9BY77
Q96AY2		Q9BZQ6
Q96FA3		Q9HCI5
Q96MR9		Q9P2M4
Q9BS34		P46721
Q9HBX8		P48147
Q9UDV7		P53041
Q9Y3Q7		P55317
O14981		Q05397
O43150		Q09666
O43790		Q13686
P08118		Q14139
P27635		Q6ZWK6
P56270		Q86UL8
Q07627		Q86WU2
Q13698		Q8N2I9
Q2LD37		Q96AQ6
Q569H4		Q96BN6
Q6BEB4		Q96N23
Q6ZTR6		Q9BZ98
Q969S8		Q9H2C0
Q9BQ04		Q9H9A7
Q9GZP1		Q9HBU1
Q9UC07		Q9NTM9
Q9UHC1		P09619
Q9Y4C4		P26715
A6NHN0		P78396
A8MWA4		Q13469
O15392		Q15646
O95967		Q6ZWJ1
O95970		Q86UX7
P07315		Q8IV08
P15882		Q8ND25
P23409		Q8TE85
P29323		Q9BTE6
P49736		Q9BTF0
P59923		Q9BXL8
Q5HYA8		Q9H211
Q8N9H8		Q9NXV2
Q8TA86		A6NK89
Q8WXH5		O00625
Q8WXI3		P08887
Q96EK4		P29083
Q99075		P49913
Q99750		P55011
Q99814		Q08426
Q9NUC0		Q08ET2
Q9UPN9		Q12857
A8MTY0		Q4G0N8
P52943		Q5TAA0
P53667		Q8IVL6
Q05215		Q8N6C8
Q15776		Q8TF72
Q4FZB7		Q8WWH5
Q6IQ21		Q92730
Q8IZX4		Q9HBW1
Q8N6F7		Q9NZ32
Q8TF27		Q9UMS5
Q8WYH8		I3L3R5
Q92974		P46939
Q96CS4		P55157
Q96EZ4		Q0VDF9
Q9BXB1		Q6UN15
Q9NR81		Q86XN7
Q9P2R6		Q8N490
O75151		Q969J5
P10071		Q96I76
P11215		Q96M69
P11474		Q96NY9
P14410		Q99439
P36888		Q9HAP2
P48357		Q9NUP1
P55198		Q9UQQ2
Q5JNZ3		A0A0A0MS03
Q6P3W6		A6NGN4
Q6UXD5		O43520
Q86YT6		P01703
Q8IZF3		P23760
Q8NDH2		P42684
Q8NDP4		P49918
Q8WTP8		Q00975
Q9BRH9		Q7Z3Z4
Q9BZC7		Q8N6Y2
Q9P2F9		Q96A99
Q9UBP4		Q9H5Z1
Q9UMF0		Q9NQW5
Q9UPQ4		Q9UJ99
O00154		Q9UM22
O75541		Q9Y5F9
O94933		Q9Y5S8
P14543		Q9Y5X9
P16415		A0A0A0MRZ9
P21580		A0A1B0GWI6
P62068		A0AVG0
Q14012		O15297
Q16610		O75663
Q2KHT4		P07199
Q5T7W7		P23470
Q6P387		P48165
Q8IZM8		P54802
Q8NCW0		Q03188
Q8WUB8		Q16543
Q96J02		Q562F6
Q96L34		Q8N7B6
Q9BZZ2		Q9NQR7
Q9H336		Q9UKB5
Q9NYG5		Q9UPT5
Q9UBI9		A0A1B0GWH4
Q9UHL9		O94901
Q9UPQ0		P08319
Q9Y2A4		P52961
Q9Y2P0		P56880
A0A1B0GVS7		Q14188
A1L3X4		Q16877
A1Z1Q3		Q2M1P5
A8K979		Q32P44
A8MPS7		Q7Z3E2
B9A6J9		Q8NFW8
O15063		Q92696
O95718		Q9BSF8
P0C0L4		Q9NTU7
P36544		Q9Y426
P62072		Q9Y5F0
Q08397		Q9Y5W7
Q13224		A0A0A0MT36
Q15697		A8MUP2
Q49AA0		O60936
Q63HK3		P01569
Q7Z408		P30084
Q7Z5A7		P57773
Q8N4Q1		Q15825
Q9H1F0		Q68G75
Q9H7U1		Q6P4F7
Q9NUK0		Q86WV1
Q9P2R3		Q8IUC6
Q9Y5R5		Q8N3J2
I3L0S3		Q96IG2
O43296		Q9H8Y1
O95450		Q9NRJ4
P07996		Q9NWS0
P0C7H8		Q9NXV6
P15328		Q9Y6G3
P36508		O14745
P57071		O15360
P98095		O77932
Q06828		P02776
Q5T3F8		P33151
Q6ZRI0		P43121
Q86XJ1		Q07108
Q8NFG4		Q12872
Q8TDY8		Q8NE09
Q8TF47		Q8TDQ0
Q8WWF5		Q9BXR5
Q96MU5		Q9NYH9
Q9BVR0		I3L3L1
Q9BZV3		O15446
Q9NYT6		P18754
Q9UKS7		P20594
B7Z1M9		P20718
F5H094		P22059
O15354		P59282
O75152		P68133
P07949		Q15822
P10276		Q32MK0
P28340		Q96II8
P55010		Q96LM6
P55259		Q99250
P58397		Q9BZR8
Q03167		Q9HBE4
Q12830		Q9P2K9
Q4KWH8		Q9UMR7
Q5FYA8		Q9UPW6
Q68DN1		A6NNV3
Q6PJW8		I1YAP6
Q7Z442		P23443
Q8N184		P23508
Q8NHG8		P40879
Q9NQ79		P55017
Q9ULT6		P62070
A8K830		Q00403
O43439		Q3KNS1
O43829		Q5HYR2
O76011		Q69YN4
O95260		Q6ZMU1
P00749		Q6ZV50
P01859		Q7Z7B8
P09871		Q86UB2
P0CB33		Q86UD0
P13598		Q8N5W9
P16109		Q92902
P50461		Q96PL5
P78333		Q9BQI9
Q02223		Q9NQ31
Q14264		Q9Y6R1
Q15654		O60240
Q17RB8		P49841
Q6AHZ1		Q12923
Q6UWQ7		Q13239
Q7Z419		Q4LE39
Q8NBP0		Q6NSI8
Q8NDY6		Q6ZUT6
Q8TAX0		Q76G19
Q8TBN0		Q8IZF0
Q96IR2		Q8N573
Q9BRN9		Q8N8V4
Q9UPQ7		Q8TDP1
A4D1P6		Q96DX5
O15273		Q9BZS1
P01229		O60813
