Only by Iupred2a	Common proteins	Only by Aiupred
Q2VPB7	Q9UHJ3	Q5KU26
Q6VB84	Q9UHR6	Q5SZK8
Q8IZJ4	O43506	Q5VYS4
Q8N1H7	O43610	Q6A1A2
Q8TBY8	O75317	Q6P1M9
Q8WYL5	P01133	Q6P3W2
A1L188	P0CG32	Q8IWG1
O14830	P22681	Q96EW2
O75618	P34130	Q99616
P22532	P36941	Q9UPW0
Q13480	P54278	Q9Y225
Q3SYB3	P54687	Q9Y2W6
Q8IY42	Q02156	A2RUH7
Q9HD26	Q14517	P01717
Q5BJF6	Q5T890	P07585
Q6ZP68	Q6NUI2	Q6J4K2
Q86UY8	Q6S8J3	Q969F9
Q8TD43	Q7Z3T8	Q9BYX2
P29074	Q7Z6J8	Q9UMX2
Q6KF10	Q86YW9	P05452
Q6UX68	Q8NI29	P32942
Q9BYT3	Q92900	P53794
Q9Y4R7	Q9P1Z9	Q08AD1
Q6PIS1	Q9UKP3	Q29RF7
Q71RC9	Q9UKR0	Q2NL67
Q8WUU8	Q9Y4D8	Q3LI58
Q969Q0	Q9Y5Y9	Q7RTY1
Q9BYR0	A6NN14	Q8IUM7
Q9H8X3	D6RJB6	Q8NHP6
A6NMD0	O60229	Q8WWZ4
P26717	O60383	Q96NJ5
P31271	O60494	Q9H159
P41440	P09958	Q9ULD6
P55211	P0DN87	O60333
Q3KP44	P55197	O75962
Q5T7P3	Q13137	O94776
A6NGG8	Q1X8D7	Q06203
O60548	Q5SW24	Q709F0
Q13569	Q7Z6J0	Q8NBR9
Q8TEF2	Q86UU1	Q92502
Q8WWX0	Q8IUG1	Q96KN1
Q96AB6	Q8IZY2	Q96NY8
Q96E09	Q8N1L1	Q9GZS1
Q9H8M5	Q8NAP8	Q9NUS5
Q9NRP2	Q8WYQ3	Q9Y2L9
Q9Y4X0	Q96MH7	O15040
A6NKC0	Q96NL3	O43683
A8MVA2	Q9BR26	P08962
Q96B33	Q9BTN0	P51808
A2RTX5	Q9P107	Q02809
P61568	Q9Y215	Q12951
Q8IUE0	Q9Y6Q2	Q14442
Q9NSY2	A0AAG2UXS2	Q16206
Q9UF47	O75362	Q49AG3
P31040	P15514	Q8TBY9
Q5TA77	Q07021	Q9Y448
Q8IYX3	Q562E7	P60507
Q8NB15	Q86Y33	P62079
Q8NDX1	Q8WY41	Q14954
Q9NZM4	Q8WZ73	Q15022
Q9Y2V2	Q92832	Q6ZSZ6
Q9Y5X2	Q92876	Q76KP1
Q3MIP1	Q96GX5	Q8NA03
A0A0U1RR11	Q9BUN1	Q8NF91
P05771	Q9HCU0	Q8NFP4
Q01860	Q9UIF8	Q96I13
Q13685	O00292	Q9BS91
Q3LI62	O15303	Q9BUE6
Q96ME1	O60477	Q9NRA0
Q9H305	O95263	Q9Y4D1
Q9HCP0	P04070	A0A1B0GVB3
Q9NUQ3	P22736	A0A1B0GXF2
P60412	P48060	O60683
Q6IPX1	P56703	P0DTE7
Q8IYY4	Q14574	P13637
Q9BYQ6	Q16549	P20645
A0A286YF01	Q495D7	P61587
O95672	Q6P3X8	Q70YC5
Q6UWK7	Q6ZMN7	Q96FN4
Q8IW50	Q8IZC6	Q9BQI3
Q8N7E2	Q8NB12	Q9GZS9
Q8NCN4	Q8TDF5	Q9H756
A6NCC3	Q8WXD0	Q9UN71
O00408	Q96GX9	A0A075B6J9
O60303	Q96I82	A0AV02
P0DX53	Q9H4F8	B2RPK0
Q5U4P2	Q9NRG9	O75325
O75200	Q9UBS5	O95398
P0DSO1	Q9UEW3	Q13261
P30291	Q9Y219	Q15029
Q5TYW2	O43147	Q16620
Q9NS67	O95628	Q6P4R8
A0A455ZAR2	P49796	Q8ND83
A8MQB3	P78549	Q92904
O43715	Q14112	Q9HAI6
Q6PRD7	Q15637	Q9NZ56
Q8IV38	Q15772	O43586
Q8IWK6	Q53RE8	O94759
Q8N7X1	Q5TA31	P59022
Q99593	Q6DT37	P81133
Q9NP90	Q6NUN9	Q06495
Q9Y5I2	Q6UWN5	Q8N9N5
F8WBI6	Q6YHK3	Q8NHS0
H3BQW9	Q8NA97	Q92826
P0C7I6	Q8NAM6	Q92985
Q07157	Q8NBI3	Q96KW9
Q13829	Q8TC41	Q9H6Y5
Q71H61	Q8TE02	Q9NP77
Q96H55	Q8TF50	A4GXA9
Q96JK9	Q92581	A6NNW6
Q96KN9	Q92994	O60678
Q9UPS8	Q9C0B6	O75140
A0A0M3HER8	A0A286YFB4	P35247
I6L899	P46934	Q10471
Q17RG1	P49765	Q13148
Q96RU8	P62745	Q4KMQ2
O00443	Q04912	Q5SRE5
O95998	Q13873	Q68D85
P10323	Q5VU97	Q8N7Z5
P43026	Q5VYP0	Q8TBM8
Q2TB18	Q86UQ0	Q9H7Y0
Q6L8G4	Q8IXS0	Q9NRD8
Q8NDB6	Q8IYD8	Q9P0V3
P0C7X1	Q8IZ26	Q9UJV9
P10606	Q8NEP9	O15123
P60329	Q8TCN5	P13236
Q0D2H9	Q8TF66	P19823
Q5SZB4	Q9BXJ7	P20823
Q5TGY1	Q9H2S5	P25205
Q70EK8	Q9H714	Q5BJE1
Q8N8V8	Q9UIF9	Q6ZN16
A0A1W2PPD8	Q9UL36	Q96JH8
A5PL33	Q9Y4K3	Q96SN8
Q9NS40	A6NFA0	Q9BTZ2
Q05066	A6NK02	Q9HCM4
Q14554	A8K010	Q9NVU0
Q5SXM2	O60281	Q9UJ41
Q6ZR03	O76095	Q9Y6P5
Q86X29	P41235	O00442
Q9H3D4	P51610	P01889
E9PJI5	Q6UXU4	P98170
Q15270	Q7Z699	Q5JPE7
Q5SWL7	Q86UA6	Q7RTP6
Q969E1	Q86UD3	Q7Z794
Q96LC9	Q86YN6	Q8IZP2
Q9UHQ1	Q8IXT1	Q8WXD5
Q9Y5H5	Q8N4S0	Q9C0K7
P04183	Q8TD94	Q9NXB0
P31249	Q8TEP8	Q9P0L0
Q02080	Q8WY21	Q9ULL1
Q9BZK8	Q92785	A0A0J9YX75
O15225	Q96FE7	A3KMH1
P62273	Q96MI9	P12755
Q96GX2	Q96P64	P60022
A0A087WVF3	Q9BTT6	Q8IV13
A0A286YEX9	Q9C0A6	Q96CX2
Q8TD19	Q9H0F5	Q96P20
Q99707	Q9UJU3	Q96PN6
A0A087X179	Q9Y4K0	Q9NRM0
A0A8I5QKY2	Q9Y4X4	Q9NVN8
Q6P9B9	A2A3K4	Q9P2F6
Q8N344	P21291	Q9P2S6
Q96B70	P30307	Q9ULL5
Q96NU1	P35555	Q9Y3B2
A0A0B4J1W7	P55000	Q9Y5E7
P09564	Q14520	Q9Y6F8
Q49A88	Q58G82	O43716
Q6ZN03	Q5T0B9	P37287
Q9H4S2	Q5T749	P48065
A0AAG2TU99	Q6ZTB9	P49788
Q5H9M0	Q7Z3I7	Q2TB90
Q15005	Q86T75	Q5GH77
Q86T90	Q86UN3	Q5JYT7
A0AAQ5BGE0	Q8IZH2	Q7L591
I3L1E1	Q8N474	Q7L8C5
P34931	Q8NCL9	Q86X95
P57059	Q8WX77	Q96EY5
Q6NSI3	Q96H79	Q96PX1
Q8IYT8	Q9BZ11	Q9BWH6
Q9H9P8	Q9NXW9	O60346
Q9UJ96	Q9Y678	O75665
Q9UJT1	Q9Y6V0	P12259
Q9UNY4	A6NGJ6	P23945
A0A6Q8PHS2	O14511	P55895
P0DPF6	O60566	Q05932
Q96HN2	O75312	Q5JRV8
Q99972	P00738	Q5VXH4
Q9UBC9	P18084	Q8N5W8
H3BV12	Q15911	Q8NHH9
P35325	Q16587	Q969W1
Q8WU20	Q494X3	Q96PB8
Q8WU49	Q5IJ48	Q96QA6
Q96KP6	Q6IE37	Q96T60
Q9BYP9	Q6UWN0	Q9GZU1
Q9NRJ3	Q6ZN44	Q9NTG7
A0A2R8YD15	Q86UK7	Q9NW82
O60220	Q86V71	Q9UBV2
P0DV76	Q8IUW3	Q9Y4E8
P17483	Q8NB42	A5PLL7
Q13361	Q969Z4	O15484
Q6ULP2	Q96LW1	P12955
Q71F78	Q96QV1	Q15043
Q92831	Q9BUH8	Q17R31
Q9NQX5	Q9GZT9	Q5JWR5
Q9P1A6	Q9H270	Q6UX46
A5PKW4	Q9NQB0	Q7Z7M1
O15054	Q9P2N5	Q8N3K9
P04553	A6NF34	Q96B23
Q8TAP4	O15016	A6NGE4
Q96MU8	O75153	P0DY26
Q9UQF0	O94991	P12107
Q86YS7	P07814	P20648
Q8TAI1	P11047	P43235
Q96MZ4	P17027	Q01118
Q96NI6	P23327	Q5JSJ4
Q9BVS5	P25391	Q5T7B8
Q9BX10	P51124	Q8N5H3
O43908	P78504	Q8TBK6
O94827	P98088	Q96EL1
Q13394	Q5W186	Q96IV0
Q8NEZ5	Q6P2D0	Q9BRI3
Q9BYP8	Q7Z3S7	Q9H2G9
Q9HCX4	Q8IUB2	Q9NUL7
Q9Y576	Q8NCL4	Q9NV88
H0YKK7	Q8WUU4	P01033
P0C7V0	Q96N20	P55286
P21917	Q9NSJ1	P57737
Q5T5X7	Q9ULH1	Q13634
Q5TCX8	O00744	Q7Z403
Q8WWW8	O43151	Q8N187
Q9HCJ2	O95544	Q8TAY7
A6NNA2	P19174	Q96J92
Q14135	P40205	Q9HCE0
Q96QS3	P56706	Q9NP56
Q9BY12	P59025	Q9NYI0
C0HMD7	Q13434	Q9UL03
E5RHQ5	Q66K41	Q9Y223
Q96JN2	Q6PI77	A0A5F9ZH88
Q9P209	Q7L0X0	O75182
P18089	Q86VZ6	P85037
Q7Z309	Q8IXL7	P98194
Q8TAU0	Q8IY33	Q13387
Q9NZB8	Q8N883	Q58DX5
Q9UHI6	Q8NEN9	Q8N6Y1
Q9Y5H8	Q96NL1	Q8TF76
A0A087X1G2	Q96NU0	Q9Y534
A0A1B0GUV1	Q9H2X3	Q9Y6K5
A0ABB0MV52	Q9H8N7	A0A0A6YYD4
Q5TA76	Q9ULL0	A0A1W2PQ64
Q9Y6K9	Q9ULL4	O43889
C9JFL3	Q9UQP3	O60810
P27694	C9J2P7	O94819
Q5T5F5	O00187	P40818
Q6UWB4	O94941	P57087
Q6ZUJ4	P00326	Q01780
Q9C0D7	P13349	Q4J6C6
Q9NPA2	P13942	Q5VWK5
A8MXZ1	P17036	Q6NVV7
Q7RTX9	Q13308	Q75V66
Q86Y91	Q13464	Q7Z3E1
Q9H7T3	Q14416	Q8WUN7
Q9NY30	Q16363	Q9BXF9
Q9P2H0	Q6DN72	Q9BXW7
Q9UKN7	Q6PH81	A6H8Y1
Q9Y5Q6	Q6UX71	O60231
O75446	Q7Z353	Q08345
P42575	Q86SQ6	Q6PIY7
Q504T8	Q8IYX7	Q8IYD9
Q5W0Q7	Q8NEA6	Q8IZK6
Q641Q3	Q92729	Q96IQ7
Q8IV53	Q92966	Q9HCE6
Q8N715	Q9H4W6	Q9NQW6
Q9UN73	Q9NWH7	Q9NRM7
O60232	Q9NY47	A0AVK6
A6NIJ5	Q9UBT2	P02489
Q00722	Q9UBZ4	P04435
Q14571	Q9UL68	P21554
Q5VSD8	Q9ULX5	P33121
Q6UXQ8	Q9Y2Y9	Q5THJ4
Q6ZRM9	O14709	Q6UXV3
Q8N0V1	O95428	Q6ZTK2
Q8NAQ8	P08253	Q8N7X0
Q9BVN2	P17029	Q8WWI5
Q1HG43	Q14541	Q9NP61
Q52M75	Q5TH69	O00472
Q5QGZ9	Q6P9F5	O75841
Q7Z5B4	Q86TJ2	P35611
Q8IV35	Q86XP1	Q49AJ0
Q8NGU9	Q8IZF5	Q86TA4
Q96A59	Q8N2H3	Q86UK0
Q9BUA3	Q96PM5	Q8N2B8
A6NDS4	Q96SQ5	Q99645
A6NFR6	Q9BRR9	Q9BUB4
Q14832	Q9BUB5	Q9BYJ1
Q7Z3K6	Q9BXP8	Q9NNX1
Q86TD4	Q9H1J5	Q9NP80
Q8N5Q1	Q9H9K5	A0A087WV62
Q8N888	Q9NSN8	O14879
Q9UER7	Q9UHC6	P41594
P21728	Q9ULG6	P47872
Q5T5A8	Q9Y6I4	Q14004
Q5JUK2	A2CJ06	Q14938
Q8IUR6	A6NLI5	Q15111
Q8N7Q2	A6NLJ0	Q15424
Q8TBZ2	O43900	Q15485
Q9BYQ5	O95153	Q7Z392
Q9BZG8	O95294	Q96BY6
Q9GZP4	P0C8F1	Q9BV99
Q9H819	P35052	Q9BZF3
Q5T752	P49901	Q9HAS3
Q6DCA0	Q01804	Q9HBH1
P35326	Q08431	Q9UJY4
Q5VY09	Q15942	P02778
Q7Z7K6	Q16134	P19235
Q9P1Z0	Q16629	P42858
Q9Y2K9	Q5EBL2	Q09428
P12109	Q6P1J6	Q5VZ89
P78412	Q8IYL2	Q63HQ0
Q7LC44	Q8IZP9	Q6PID6
Q8IWL1	Q8N1G0	Q86WV6
Q8WUU5	Q8NA31	Q8IVF7
Q9BYQ0	Q8NES8	Q8NDB2
H3BQL2	Q96KR4	Q8NEX6
O60733	Q9NYY3	Q969R2
Q149M9	Q9P1Y6	Q96AZ6
Q6GV28	Q9UL58	Q96PB1
A0A140TA67	Q9UL62	Q9H0E7
A0AAG2TVR5	Q9UM73	Q9H254
B1AL46	Q9Y5K2	Q9P1Y5
P49757	A6NMZ7	Q9P2F8
Q0VG99	O43149	Q9UIJ5
Q3KP66	P53804	P56524
Q4UJ75	Q3SY46	P59666
P48448	Q8IWV1	Q08499
Q96JP2	Q8IYX0	Q8NHY0
Q9NRI5	Q8NA42	Q96A46
Q9ULI0	Q8NFT6	Q9H9Y6
A6NN73	Q96BT7	Q9UBN4
Q15052	Q96C24	Q9UK96
Q8N2C3	Q96P11	A0A087X1C5
Q9NP84	Q9H8U3	O15066
F2Z333	Q9UHF1	O60293
O95177	A6NMN3	P01210
Q6L8G8	A8MYU2	P10109
Q8TAF5	O00110	P14784
Q8TE04	P0CJ78	P40692
Q92913	P0DJD3	P49840
Q9UNW8	P38935	P78395
A8MTY7	Q01081	Q86WB0
B2RXH2	Q14512	Q8IUH5
P0CJ92	Q3SXY7	Q96IW7
Q5T442	Q6PJI9	A8MTA8
Q8NCU1	Q6ZMY6	P19387
Q9GZY0	Q86TC9	P48382
Q6PML9	Q8IV45	Q13203
Q9BYR3	Q8N1Y9	Q15185
A6NDY2	Q8NG31	Q5VUJ6
O15084	Q92698	Q96P48
P60369	Q9HAW0	Q99460
Q96PI1	Q9NPF0	Q9BY77
Q9UBL0	A7XYQ1	Q9HCI5
Q02040	O75051	Q9P2M4
Q15326	P10073	P46721
Q6P531	P52594	P53041
Q96LU7	P54198	P55317
A0A1W2PNU3	P78312	Q05397
A2RRL7	Q12901	Q09666
A6NKH3	Q13064	Q13686
P0DSO2	Q15365	Q14139
P61927	Q4G112	Q6ZWK6
Q49A17	Q5DT21	Q86WU2
Q8IZP1	Q5SWA1	Q96AQ6
Q92499	Q6N063	Q96BN6
Q96RM1	Q6ZVL8	Q96N23
Q9BXT6	Q8IZP6	Q9BZ98
Q9Y2T5	Q8N2N9	Q9H2C0
A8MXJ8	Q8NA69	Q9H9A7
B1ANS9	Q9H0F6	Q9HBU1
P0DX52	Q9H2D6	Q9NTM9
Q05823	Q9H3C7	P09619
Q15436	Q9H706	P78396
Q5JSZ5	Q9NYB5	Q15646
Q6PIJ6	Q9UKA4	Q6ZWJ1
Q7Z3H0	Q9UNX9	Q86UX7
Q9BZA7	Q9Y2E4	Q8ND25
A0A1B0GTR4	A0A0G2JLW4	Q9BTE6
P08218	A2VCK2	Q9BTF0
Q64LD2	O94983	Q9BXL8
Q8WXI2	P13682	Q9H211
O15255	P25490	Q9NXV2
O60542	P60409	A6NK89
Q7L0Q8	P62684	O00625
O14944	Q04721	P08887
O60729	Q13751	P29083
P51649	Q3T906	P49913
Q13427	Q5VTR2	P55011
Q6P461	Q6ZN04	Q08426
Q76N89	Q86WZ6	Q08ET2
Q9C098	Q8IUL8	Q12857
Q9H8G2	Q8N0Y2	Q4G0N8
Q9UK33	Q8N143	Q5TAA0
O43603	Q8N2R0	Q8IVL6
P0DV75	Q8N446	Q8N6C8
P17900	Q92547	Q8TF72
Q12950	Q96JY6	Q8WWH5
Q8TC71	Q9BXR6	Q92730
O14843	Q9BXX0	Q9HBW1
O15550	Q9C0D5	I3L3R5
P30281	Q9NRM6	P46939
Q5S007	Q9UK13	P55157
Q5VYM1	O15072	Q0VDF9
Q9NYJ1	O75150	Q6UN15
Q9Y324	O95780	Q86XN7
Q9Y3M8	P08048	Q8N490
P13489	P08069	Q969J5
P16035	P0C6A0	Q96I76
P35663	P49327	Q96M69
Q9C0D6	Q03112	Q96NY9
Q9H1H9	Q6ZN30	Q99439
Q9Y6S9	Q7Z713	Q9HAP2
A8MQT2	Q8IZN3	A0A0A0MS03
O60927	Q8N8Y5	A6NGN4
P17509	Q8NHX4	O43520
P35908	Q969S2	P01703
Q92833	Q9NYF0	P23760
Q9H161	Q9NYJ8	P42684
Q9ULW8	Q9Y490	Q00975
Q92686	A6NDX5	Q96A99
Q96NJ1	O43422	Q9H5Z1
	O94953	Q9NQW5
	P04731	Q9UJ99
	P21246	Q9UM22
	P22105	Q9Y5F9
	P27701	Q9Y5S8
	P37173	Q9Y5X9
	P61968	O15297
	P98153	O75663
	Q13886	P07199
	Q15415	P23470
	Q16651	P48165
	Q5SRH9	Q16543
	Q6ZMY3	Q8N7B6
	Q7Z3K3	Q9NQR7
	Q86YJ5	Q9UKB5
	Q8IZA0	Q9UPT5
	Q8WTV1	A0A1B0GWH4
	Q99684	O94901
	Q9HCI7	P08319
	Q9UKJ8	P56880
	Q9Y337	Q14188
	A8TX70	Q16877
	O15391	Q32P44
	O60308	Q8NFW8
	O75081	Q92696
	P19544	Q9NTU7
	P35523	Q9Y426
	P78364	Q9Y5F0
	Q0VAF6	Q9Y5W7
	Q13643	A0A0A0MT36
	Q15796	A8MUP2
	Q86VP1	Q15825
	Q8N3J9	Q6P4F7
	Q8N475	Q86WV1
	Q8TCU4	Q8N3J2
	Q8TF46	Q96IG2
	Q969G2	Q9H8Y1
	Q9BUL5	Q9NRJ4
	Q9BYN7	Q9NWS0
	Q9H3T3	Q9Y6G3
	Q9NZF1	O14745
	Q9UJW0	O15360
	A5YKK6	O77932
	O15060	P02776
	O94855	P33151
	O94886	P43121
	O95391	Q8NE09
	P01877	Q8TDQ0
	P20151	I3L3L1
	P49747	O15446
	P57727	P18754
	P98161	P20718
	Q14D33	P59282
	Q15746	P68133
	Q5JSP0	Q15822
	Q68DV7	Q32MK0
	Q7L622	Q96II8
	Q8N3T1	Q96LM6
	Q8NEZ3	Q99250
	Q8TDM5	Q9BZR8
	Q92956	Q9P2K9
	Q99676	I1YAP6
	Q9BRP7	P23508
	Q9BWV1	P55017
	Q9H0B3	P62070
	Q9P278	Q00403
	Q9UID6	Q3KNS1
	Q9UPR6	Q69YN4
	Q9Y466	Q6ZMU1
	A0PJX4	Q7Z7B8
	A6NK53	Q86UB2
	O14525	Q8N5W9
	O60337	Q96PL5
	O60635	Q9BQI9
	O95521	Q9NQ31
	O95630	Q9Y6R1
	P01876	P49841
	P03973	Q12923
	P23458	Q13239
	P35348	Q4LE39
	P52740	Q6NSI8
	P62877	Q6ZUT6
	Q0VDD8	Q76G19
	Q14995	Q8IZF0
	Q2M2W7	Q8N573
	Q5VUE5	Q8N8V4
	Q6ZNE5	Q96DX5
	Q6ZR52	Q9BZS1
	Q86XN8	O60813
	Q8IZ20	P04090
	Q8TCT1	P18887
	Q96NJ6	P41214
	Q9NZK7	Q00653
	Q9P021	Q6UXS0
	Q9UPT6	Q6ZQY2
	A8K0R7	Q86VF7
	P00751	Q8IY82
	P52742	Q8IZ52
	Q0IIN9	Q8N9N2
	Q13574	Q8TDM0
	Q6ZSB9	Q8WXA8
	Q6ZV77	Q96RN1
	Q7Z3B3	Q9NRD9
	Q8N328	A0AVT1
	Q92802	O14503
	Q96FV2	P59047
	Q96HA4	Q12816
	Q96I27	Q6PI26
	Q96K83	Q8N3P4
	Q9NRX4	Q9NZH6
	A2RRD8	O95835
	A6QL64	P22223
	O14978	P43632
	O15399	P48230
	O60765	P52333
	O95158	Q05084
	P06213	Q5R3K3
	P0DV60	Q86VP3
	P17023	Q86WB7
	P48200	Q8WUH2
	P54107	Q969P0
	Q13370	P12525
	Q149N8	P15814
	Q5T4S7	Q5H9R4
	Q6ZN08	Q5SQS8
	Q8IWV8	Q6GYQ0
	Q8NDX6	Q8IUA7
	Q8TE56	Q8N149
	Q8WVV4	Q8NCM8
	Q92622	Q9NY37
	Q96SZ4	Q9UJT2
	Q99558	A6NED2
	Q9BWT1	O00519
	Q9NWW7	P17480
	Q9ULW2	Q15788
	O43497	Q6Y2X3
	O95863	Q8N8R5
	P0CG23	Q9C0B5
	P17039	Q9NRM2
	P21854	Q9UL49
	P51508	O15394
	P56199	P02545
	Q13536	P0DP73
	Q14956	P69849
	Q3MJ16	Q14008
	Q685J3	Q14964
	Q6ZMW2	Q86VM9
	Q8IV04	Q8IX03
	Q8N9P6	Q8NEX5
	Q8TD23	Q8WWV6
	Q96AQ9	Q92540
	Q96Q91	Q9H094
	Q9BXG8	Q9H7E2
	Q9C0E4	Q9UPZ3
	Q9NQX1	Q9Y238
	Q9UKQ9	O95897
	Q9XRX5	P16455
	A0JP26	Q14624
	O43909	Q4L235
	P02452	Q5U5R9
	P07202	Q6UX98
	P08842	Q702N8
	P0DP57	Q86VH2
	P10646	Q96BS2
	P29320	Q9H799
	P41587	Q9HCK8
	Q30KQ5	Q9NXD2
	Q3LI83	Q9UBS4
	Q6WCQ1	Q9Y6J0
	Q7L3V2	O15403
	Q8NA70	O95872
	Q8ND94	P35557
	Q8TDB6	Q16795
	Q8TDI0	Q5JVF3
	Q8TE49	Q6BDS2
	Q96T92	Q6ZQT0
	Q99469	Q6ZRX8
	Q9NPR2	Q9BU89
	Q9NUL5	Q9H813
	Q9UQ26	Q9NP60
	O43903	A0A1B0GX51
	O95754	O75554
	P51449	O76042
	Q4V348	P09455
	Q4VC44	Q13637
	Q5JZY3	Q14721
	Q6QN14	Q5H9R7
	Q6ZNA1	Q86TL0
	Q86SU0	Q8WXH0
	Q86T29	Q96MM6
	Q86VW2	Q9UPQ3
	Q96HE9	Q9Y6B7
	Q96T76	B3GLJ2
	Q9BXU3	O00562
	Q9HBG6	O15254
	Q9NQV6	O15523
	Q9UBU2	P20908
	Q9UPV7	P54105
	A6QL63	Q13769
	O95361	Q14118
	O95460	Q15884
	O95786	Q495T6
	P13385	Q6IQ32
	P32320	Q6U841
	Q2MV58	Q96DD7
	Q5H9J9	Q9H5L6
	Q68DQ2	A0A096LNP1
	Q68DY1	A6NDU8
	Q7Z7L9	A6NKW6
	Q86UD4	A7E2U8
	Q8WV37	C9JE40
	Q96ME7	O60896
	Q96P53	O95292
	Q9BY66	P04278
	Q9H156	P28347
	Q9UNY5	P28906
	A6NGD5	Q8N0U4
	P09486	Q9UBM4
	P17098	Q9Y5I4
	P35442	O00534
	P63128	O60500
	Q02447	O96018
	Q14159	P10720
	Q4G0T1	Q08AF3
	Q6GMV2	Q14563
	Q7Z5P9	Q15669
	Q8N690	Q2TAL8
	Q8NCP5	Q6ZNI0
	Q969Q1	Q8IZF6
	Q96BD5	Q9BQS6
	Q96JM4	P05166
	Q96L96	P0DP74
	Q99575	P43628
	Q9BQB4	Q12767
	Q9NV72	Q1W4C9
	Q9NVP4	Q504Y0
	Q9NXR8	Q6PI73
	Q9UBG7	Q7RTS7
	Q9UK23	Q8N9S9
	Q9ULE0	Q8WYA1
	C9J798	Q96G61
	C9JLR9	Q9BYP7
	O43313	Q9H0M4
	O60503	Q9H4E7
	P0C7P1	Q9NZS9
	P43353	Q9Y263
	P51523	P0DUB6
	P63215	P22570
	Q13422	P26232
	Q14432	P43320
	Q14525	P43629
	Q3LHN2	P43631
	Q5JT82	P47895
	Q6ZNC4	Q5TFG8
	Q6ZNG1	Q709C8
	Q7Z333	Q86SJ2
	Q8N393	Q86VR7
	Q96SW2	Q86XP0
	Q9BZE0	Q8N3F9
	Q9NW64	Q96G91
	Q9NZ20	Q9UF02
	Q9UIE0	Q9ULK6
	A0AAG2SUX2	E9PQ53
	A6NM62	P05412
	A8MX34	P20783
	O14492	P21817
	O15496	P23467
	O60687	P43378
	P01031	P52732
	P20393	P54252
	P52737	Q6VUC0
	Q52M93	Q7Z5V6
	Q5DID0	Q8N228
	Q6ZRP0	Q8N441
	Q7L5Y9	Q92674
	Q8IX06	Q99758
	Q8N680	Q9BVH7
	Q8N865	Q9H8K7
	Q96AY2	Q9P0J1
	Q96FA3	A8MVW0
	Q96MR9	O95857
	Q9BS34	P04196
	Q9HBX8	P0DTU3
	Q9UDV7	P16234
	Q9Y3Q7	P17813
	O14981	Q14203
	O43150	Q2T9K0
	O43790	Q6P179
	P08118	Q6RFH5
	P27635	Q86VH4
	P56270	Q8NCD3
	Q07627	Q96QE5
	Q13698	Q9NZH5
	Q2LD37	Q9NZP8
	Q569H4	Q9UDR5
	Q6BEB4	Q9Y5L3
	Q6ZTR6	O15353
	Q969S8	O60312
	Q9BQ04	O95977
	Q9UC07	P01344
	Q9UHC1	P49223
	Q9Y4C4	Q13183
	A6NHN0	Q13506
	A8MWA4	Q15155
	O15392	Q5T4I8
	O95967	Q5VTA0
	O95970	Q92871
	P15882	Q969H4
	P23409	Q9BW19
	P29323	Q9BZG1
	P49736	Q9H7D7
	P59923	Q9HC38
	Q5HYA8	Q9UM07
	Q8N9H8	Q9UNS1
	Q8TA86	P46459
	Q8WXH5	P54922
	Q8WXI3	Q92854
	Q96EK4	Q9BX67
	Q99075	Q9H3V2
	Q99750	Q9NZV5
	Q99814	Q9P1U1
	Q9NUC0	Q9UQD0
	Q9UPN9	Q9Y3I0
	A8MTY0	A6NM43
	P52943	O00305
	P53667	P0CF97
	Q05215	P28300
	Q15776	P47883
	Q4FZB7	P60508
	Q6IQ21	Q4G0W2
	Q8IZX4	Q8IYB7
	Q8N6F7	Q8NFR9
	Q8TF27	Q92754
	Q8WYH8	Q9P2J2
	Q92974	A6NMB1
	Q96CS4	A6NMB9
	Q96EZ4	A8MTJ6
	Q9BXB1	P08631
	Q9P2R6	P0DUQ1
	O75151	P50336
	P10071	P59665
	P11215	Q15434
	P11474	Q96JX3
	P14410	Q9BQ69
	P36888	Q9H694
	P48357	Q9NQ34
	P55198	Q9UN76
	Q5JNZ3	Q9Y487
	Q6P3W6	Q9Y5E2
	Q6UXD5	O14967
	Q86YT6	P09429
	Q8IZF3	P24001
	Q8NDH2	P51606
	Q8NDP4	Q8N1N0
	Q8WTP8	Q9Y4A8
	Q9BRH9	Q9Y4G6
	Q9BZC7	O94811
	Q9P2F9	O95602
	Q9UBP4	P01308
	Q9UMF0	P14866
	Q9UPQ4	P40197
	O00154	P50993
	O75541	Q2VWA4
	O94933	Q6P7N7
	P14543	Q8NAA4
	P16415	Q92506
	P21580	Q96S66
	P62068	Q9H2P0
	Q14012	Q9Y616
	Q16610	A0A0C4DH68
	Q5T7W7	A8MZ59
	Q6P387	O15228
	Q8IZM8	O75335
	Q8NCW0	O94822
	Q8WUB8	O94921
	Q96J02	P06400
	Q96L34	P32298
	Q9BZZ2	Q00887
	Q9H336	Q53H12
	Q9NYG5	Q6SJ93
	Q9UHL9	Q8N3E9
	Q9UPQ0	Q99640
	Q9Y2A4	Q9Y2G8
	Q9Y2P0	Q9Y5E9
	A0A1B0GVS7	O00115
	A1L3X4	O75038
	A1Z1Q3	O95744
	A8K979	P16619
	A8MPS7	P49590
	O15063	Q5XXA6
	O95718	Q8IVQ6
	P0C0L4	Q8TD86
	P36544	Q9BV73
	Q08397	Q9HAU0
	Q13224	Q9Y2L5
	Q15697	Q9Y5F2
	Q49AA0	Q9Y6H5
	Q63HK3	A0A0K0K1E9
	Q7Z408	O14523
