Common proteins	Only by Iupred2a	Only by Aiupred
Q9UHJ3	Q2VPB7	Q5KU26
Q9UHR6	Q6VB84	Q5SZK8
O43506	Q8IZJ4	Q5VYS4
O43610	Q8N1H7	Q6A1A2
O75317	Q8TBY8	Q6P1M9
P01133	Q8WYL5	Q6P3W2
P0CG32	A1L188	Q8IWG1
P22681	O14830	Q96EW2
P34130	O75618	Q99616
P36941	P22532	Q9UPW0
P54278	Q13480	Q9Y225
P54687	Q3SYB3	Q9Y2W6
Q02156	Q8IY42	A2RUH7
Q14517	Q9HD26	P01717
Q5T890	Q5BJF6	P07585
Q6NUI2	Q6ZP68	Q6J4K2
Q6S8J3	Q86UY8	Q969F9
Q7Z3T8	Q8TD43	Q9BYX2
Q7Z6J8	P29074	Q9UMX2
Q86YW9	Q6KF10	P05452
Q8NI29	Q6UX68	P32942
Q92900	Q9BYT3	P53794
Q9P1Z9	Q9Y4R7	Q08AD1
Q9UKP3	Q6PIS1	Q29RF7
Q9UKR0	Q71RC9	Q2NL67
Q9Y4D8	Q8WUU8	Q3LI58
Q9Y5Y9	Q969Q0	Q7RTY1
A6NN14	Q9BYR0	Q8IUM7
D6RJB6	Q9H8X3	Q8NHP6
O60229	A6NMD0	Q8WWZ4
O60383	P26717	Q96NJ5
O60494	P31271	Q9H159
P09958	P41440	Q9ULD6
P0DN87	P55211	O60333
P55197	Q3KP44	O75962
Q13137	Q5T7P3	O94776
Q1X8D7	A6NGG8	Q06203
Q5SW24	O60548	Q709F0
Q7Z6J0	Q13569	Q8NBR9
Q86UU1	Q8TEF2	Q92502
Q8IUG1	Q8WWX0	Q96KN1
Q8IZY2	Q96AB6	Q96NY8
Q8N1L1	Q96E09	Q9GZS1
Q8NAP8	Q9H8M5	Q9NUS5
Q8WYQ3	Q9NRP2	Q9Y2L9
Q96MH7	Q9Y4X0	O15040
Q96NL3	A6NKC0	O43683
Q9BR26	A8MVA2	P08962
Q9BTN0	Q96B33	P51808
Q9P107	A2RTX5	Q02809
Q9Y215	P61568	Q12951
Q9Y6Q2	Q8IUE0	Q14442
A0AAG2UXS2	Q9NSY2	Q16206
O75362	Q9UF47	Q49AG3
P15514	P31040	Q8TBY9
Q07021	Q5TA77	Q9Y448
Q562E7	Q8IYX3	P60507
Q86Y33	Q8NB15	P62079
Q8WY41	Q8NDX1	Q14954
Q8WZ73	Q9NZM4	Q15022
Q92832	Q9Y2V2	Q6ZSZ6
Q92876	Q9Y5X2	Q76KP1
Q96GX5	Q3MIP1	Q8NA03
Q9BUN1	A0A0U1RR11	Q8NF91
Q9HCU0	P05771	Q8NFP4
Q9UIF8	Q01860	Q96I13
O00292	Q13685	Q9BS91
O15303	Q3LI62	Q9BUE6
O60477	Q96ME1	Q9NRA0
O95263	Q9H305	Q9Y4D1
P04070	Q9HCP0	A0A1B0GVB3
P22736	Q9NUQ3	A0A1B0GXF2
P48060	P60412	O60683
P56703	Q6IPX1	P0DTE7
Q14574	Q8IYY4	P13637
Q16549	Q9BYQ6	P20645
Q495D7	A0A286YF01	P61587
Q6P3X8	O95672	Q70YC5
Q6ZMN7	Q6UWK7	Q96FN4
Q8IZC6	Q8IW50	Q9BQI3
Q8NB12	Q8N7E2	Q9GZS9
Q8TDF5	Q8NCN4	Q9H756
Q8WXD0	A6NCC3	Q9UN71
Q96GX9	O00408	A0A075B6J9
Q96I82	O60303	A0AV02
Q9H4F8	P0DX53	B2RPK0
Q9NRG9	Q5U4P2	O75325
Q9UBS5	O75200	O95398
Q9UEW3	P0DSO1	Q13261
Q9Y219	P30291	Q15029
O43147	Q5TYW2	Q16620
O95628	Q9NS67	Q6P4R8
P49796	A0A455ZAR2	Q8ND83
P78549	A8MQB3	Q92904
Q14112	O43715	Q9HAI6
Q15637	Q6PRD7	Q9NZ56
Q15772	Q8IV38	O43586
Q53RE8	Q8IWK6	O94759
Q5TA31	Q8N7X1	P59022
Q6DT37	Q99593	P81133
Q6NUN9	Q9NP90	Q06495
Q6UWN5	Q9Y5I2	Q8N9N5
Q6YHK3	F8WBI6	Q8NHS0
Q8NA97	H3BQW9	Q92826
Q8NAM6	P0C7I6	Q92985
Q8NBI3	Q07157	Q96KW9
Q8TC41	Q13829	Q9H6Y5
Q8TE02	Q71H61	Q9NP77
Q8TF50	Q96H55	A4GXA9
Q92581	Q96JK9	A6NNW6
Q92994	Q96KN9	O60678
Q9C0B6	Q9UPS8	O75140
A0A286YFB4	A0A0M3HER8	P35247
P46934	I6L899	Q10471
P49765	Q17RG1	Q13148
P62745	Q96RU8	Q4KMQ2
Q04912	O00443	Q5SRE5
Q13873	O95998	Q68D85
Q5VU97	P10323	Q8N7Z5
Q5VYP0	P43026	Q8TBM8
Q86UQ0	Q2TB18	Q9H7Y0
Q8IXS0	Q6L8G4	Q9NRD8
Q8IYD8	Q8NDB6	Q9P0V3
Q8IZ26	P0C7X1	Q9UJV9
Q8NEP9	P10606	O15123
Q8TCN5	P60329	P13236
Q8TF66	Q0D2H9	P19823
Q9BXJ7	Q5SZB4	P20823
Q9H2S5	Q5TGY1	P25205
Q9H714	Q70EK8	Q5BJE1
Q9UIF9	Q8N8V8	Q6ZN16
Q9UL36	A0A1W2PPD8	Q96JH8
Q9Y4K3	A5PL33	Q96SN8
A6NFA0	Q9NS40	Q9BTZ2
A6NK02	Q05066	Q9HCM4
A8K010	Q14554	Q9NVU0
O60281	Q5SXM2	Q9UJ41
O76095	Q6ZR03	Q9Y6P5
P41235	Q86X29	O00442
P51610	Q9H3D4	P01889
Q6UXU4	E9PJI5	P98170
Q7Z699	Q15270	Q5JPE7
Q86UA6	Q5SWL7	Q7RTP6
Q86UD3	Q969E1	Q7Z794
Q86YN6	Q96LC9	Q8IZP2
Q8IXT1	Q9UHQ1	Q8WXD5
Q8N4S0	Q9Y5H5	Q9C0K7
Q8TD94	P04183	Q9NXB0
Q8TEP8	P31249	Q9P0L0
Q8WY21	Q02080	Q9ULL1
Q92785	Q9BZK8	A0A0J9YX75
Q96FE7	O15225	A3KMH1
Q96MI9	P62273	P12755
Q96P64	Q96GX2	P60022
Q9BTT6	A0A087WVF3	Q8IV13
Q9C0A6	A0A286YEX9	Q96CX2
Q9H0F5	Q8TD19	Q96P20
Q9UJU3	Q99707	Q96PN6
Q9Y4K0	A0A087X179	Q9NRM0
Q9Y4X4	A0A8I5QKY2	Q9NVN8
A2A3K4	Q6P9B9	Q9P2F6
P21291	Q8N344	Q9P2S6
P30307	Q96B70	Q9ULL5
P35555	Q96NU1	Q9Y3B2
P55000	A0A0B4J1W7	Q9Y5E7
Q14520	P09564	Q9Y6F8
Q58G82	Q49A88	O43716
Q5T0B9	Q6ZN03	P37287
Q5T749	Q9H4S2	P48065
Q6ZTB9	A0AAG2TU99	P49788
Q7Z3I7	Q5H9M0	Q2TB90
Q86T75	Q15005	Q5GH77
Q86UN3	Q86T90	Q5JYT7
Q8IZH2	A0AAQ5BGE0	Q7L591
Q8N474	I3L1E1	Q7L8C5
Q8NCL9	P34931	Q86X95
Q8WX77	P57059	Q96EY5
Q96H79	Q6NSI3	Q96PX1
Q9BZ11	Q8IYT8	Q9BWH6
Q9NXW9	Q9H9P8	O60346
Q9Y678	Q9UJ96	O75665
Q9Y6V0	Q9UJT1	P12259
A6NGJ6	Q9UNY4	P23945
O14511	A0A6Q8PHS2	P55895
O60566	P0DPF6	Q05932
O75312	Q96HN2	Q5JRV8
P00738	Q99972	Q5VXH4
P18084	Q9UBC9	Q8N5W8
Q15911	H3BV12	Q8NHH9
Q16587	P35325	Q969W1
Q494X3	Q8WU20	Q96PB8
Q5IJ48	Q8WU49	Q96QA6
Q6IE37	Q96KP6	Q96T60
Q6UWN0	Q9BYP9	Q9GZU1
Q6ZN44	Q9NRJ3	Q9NTG7
Q86UK7	A0A2R8YD15	Q9NW82
Q86V71	O60220	Q9UBV2
Q8IUW3	P0DV76	Q9Y4E8
Q8NB42	P17483	A5PLL7
Q969Z4	Q13361	O15484
Q96LW1	Q6ULP2	P12955
Q96QV1	Q71F78	Q15043
Q9BUH8	Q92831	Q17R31
Q9GZT9	Q9NQX5	Q5JWR5
Q9H270	Q9P1A6	Q6UX46
Q9NQB0	A5PKW4	Q7Z7M1
Q9P2N5	O15054	Q8N3K9
A6NF34	P04553	Q96B23
O15016	Q8TAP4	A6NGE4
O75153	Q96MU8	P0DY26
O94991	Q9UQF0	P12107
P07814	Q86YS7	P20648
P11047	Q8TAI1	P43235
P17027	Q96MZ4	Q01118
P23327	Q96NI6	Q5JSJ4
P25391	Q9BVS5	Q5T7B8
P51124	Q9BX10	Q8N5H3
P78504	O43908	Q8TBK6
P98088	O94827	Q96EL1
Q5W186	Q13394	Q96IV0
Q6P2D0	Q8NEZ5	Q9BRI3
Q7Z3S7	Q9BYP8	Q9H2G9
Q8IUB2	Q9HCX4	Q9NUL7
Q8NCL4	Q9Y576	Q9NV88
Q8WUU4	H0YKK7	P01033
Q96N20	P0C7V0	P55286
Q9NSJ1	P21917	P57737
Q9ULH1	Q5T5X7	Q13634
O00744	Q5TCX8	Q7Z403
O43151	Q8WWW8	Q8N187
O95544	Q9HCJ2	Q8TAY7
P19174	A6NNA2	Q96J92
P40205	Q14135	Q9HCE0
P56706	Q96QS3	Q9NP56
P59025	Q9BY12	Q9NYI0
Q13434	C0HMD7	Q9UL03
Q66K41	E5RHQ5	Q9Y223
Q6PI77	Q96JN2	A0A5F9ZH88
Q7L0X0	Q9P209	O75182
Q86VZ6	P18089	P85037
Q8IXL7	Q7Z309	P98194
Q8IY33	Q8TAU0	Q13387
Q8N883	Q9NZB8	Q58DX5
Q8NEN9	Q9UHI6	Q8N6Y1
Q96NL1	Q9Y5H8	Q8TF76
Q96NU0	A0A087X1G2	Q9Y534
Q9H2X3	A0A1B0GUV1	Q9Y6K5
Q9H8N7	A0ABB0MV52	A0A0A6YYD4
Q9ULL0	Q5TA76	A0A1W2PQ64
Q9ULL4	Q9Y6K9	O43889
Q9UQP3	C9JFL3	O60810
C9J2P7	P27694	O94819
O00187	Q5T5F5	P40818
O94941	Q6UWB4	P57087
P00326	Q6ZUJ4	Q01780
P13349	Q9C0D7	Q4J6C6
P13942	Q9NPA2	Q5VWK5
P17036	A8MXZ1	Q6NVV7
Q13308	Q7RTX9	Q75V66
Q13464	Q86Y91	Q7Z3E1
Q14416	Q9H7T3	Q8WUN7
Q16363	Q9NY30	Q9BXF9
Q6DN72	Q9P2H0	Q9BXW7
Q6PH81	Q9UKN7	A6H8Y1
Q6UX71	Q9Y5Q6	O60231
Q7Z353	O75446	Q08345
Q86SQ6	P42575	Q6PIY7
Q8IYX7	Q504T8	Q8IYD9
Q8NEA6	Q5W0Q7	Q8IZK6
Q92729	Q641Q3	Q96IQ7
Q92966	Q8IV53	Q9HCE6
Q9H4W6	Q8N715	Q9NQW6
Q9NWH7	Q9UN73	Q9NRM7
Q9NY47	O60232	A0AVK6
Q9UBT2	A6NIJ5	P02489
Q9UBZ4	Q00722	P04435
Q9UL68	Q14571	P21554
Q9ULX5	Q5VSD8	P33121
Q9Y2Y9	Q6UXQ8	Q5THJ4
O14709	Q6ZRM9	Q6UXV3
O95428	Q8N0V1	Q6ZTK2
P08253	Q8NAQ8	Q8N7X0
P17029	Q9BVN2	Q8WWI5
Q14541	Q1HG43	Q9NP61
Q5TH69	Q52M75	O00472
Q6P9F5	Q5QGZ9	O75841
Q86TJ2	Q7Z5B4	P35611
Q86XP1	Q8IV35	Q49AJ0
Q8IZF5	Q8NGU9	Q86TA4
Q8N2H3	Q96A59	Q86UK0
Q96PM5	Q9BUA3	Q8N2B8
Q96SQ5	A6NDS4	Q99645
Q9BRR9	A6NFR6	Q9BUB4
Q9BUB5	Q14832	Q9BYJ1
Q9BXP8	Q7Z3K6	Q9NNX1
Q9H1J5	Q86TD4	Q9NP80
Q9H9K5	Q8N5Q1	A0A087WV62
Q9NSN8	Q8N888	O14879
Q9UHC6	Q9UER7	P41594
Q9ULG6	P21728	P47872
Q9Y6I4	Q5T5A8	Q14004
A2CJ06	Q5JUK2	Q14938
A6NLI5	Q8IUR6	Q15111
A6NLJ0	Q8N7Q2	Q15424
O43900	Q8TBZ2	Q15485
O95153	Q9BYQ5	Q7Z392
O95294	Q9BZG8	Q96BY6
P0C8F1	Q9GZP4	Q9BV99
P35052	Q9H819	Q9BZF3
P49901	Q5T752	Q9HAS3
Q01804	Q6DCA0	Q9HBH1
Q08431	P35326	Q9UJY4
Q15942	Q5VY09	P02778
Q16134	Q7Z7K6	P19235
Q16629	Q9P1Z0	P42858
Q5EBL2	Q9Y2K9	Q09428
Q6P1J6	P12109	Q5VZ89
Q8IYL2	P78412	Q63HQ0
Q8IZP9	Q7LC44	Q6PID6
Q8N1G0	Q8IWL1	Q86WV6
Q8NA31	Q8WUU5	Q8IVF7
Q8NES8	Q9BYQ0	Q8NDB2
Q96KR4	H3BQL2	Q8NEX6
Q9NYY3	O60733	Q969R2
Q9P1Y6	Q149M9	Q96AZ6
Q9UL58	Q6GV28	Q96PB1
Q9UL62	A0A140TA67	Q9H0E7
Q9UM73	A0AAG2TVR5	Q9H254
Q9Y5K2	B1AL46	Q9P1Y5
A6NMZ7	P49757	Q9P2F8
O43149	Q0VG99	Q9UIJ5
P53804	Q3KP66	P56524
Q3SY46	Q4UJ75	P59666
Q8IWV1	P48448	Q08499
Q8IYX0	Q96JP2	Q8NHY0
Q8NA42	Q9NRI5	Q96A46
Q8NFT6	Q9ULI0	Q9H9Y6
Q96BT7	A6NN73	Q9UBN4
Q96C24	Q15052	Q9UK96
Q96P11	Q8N2C3	A0A087X1C5
Q9H8U3	Q9NP84	O15066
Q9UHF1	F2Z333	O60293
A6NMN3	O95177	P01210
A8MYU2	Q6L8G8	P10109
O00110	Q8TAF5	P14784
P0CJ78	Q8TE04	P40692
P0DJD3	Q92913	P49840
P38935	Q9UNW8	P78395
Q01081	A8MTY7	Q86WB0
Q14512	B2RXH2	Q8IUH5
Q3SXY7	P0CJ92	Q96IW7
Q6PJI9	Q5T442	A8MTA8
Q6ZMY6	Q8NCU1	P19387
Q86TC9	Q9GZY0	P48382
Q8IV45	Q6PML9	Q13203
Q8N1Y9	Q9BYR3	Q15185
Q8NG31	A6NDY2	Q5VUJ6
Q92698	O15084	Q96P48
Q9HAW0	P60369	Q99460
Q9NPF0	Q96PI1	Q9BY77
A7XYQ1	Q9UBL0	Q9HCI5
O75051	Q02040	Q9P2M4
P10073	Q15326	P46721
P52594	Q6P531	P53041
P54198	Q96LU7	P55317
P78312	A0A1W2PNU3	Q05397
Q12901	A2RRL7	Q09666
Q13064	A6NKH3	Q13686
Q15365	P0DSO2	Q14139
Q4G112	P61927	Q6ZWK6
Q5DT21	Q49A17	Q86WU2
Q5SWA1	Q8IZP1	Q96AQ6
Q6N063	Q92499	Q96BN6
Q6ZVL8	Q96RM1	Q96N23
Q8IZP6	Q9BXT6	Q9BZ98
Q8N2N9	Q9Y2T5	Q9H2C0
Q8NA69	A8MXJ8	Q9H9A7
Q9H0F6	B1ANS9	Q9HBU1
Q9H2D6	P0DX52	Q9NTM9
Q9H3C7	Q05823	P09619
Q9H706	Q15436	P78396
Q9NYB5	Q5JSZ5	Q15646
Q9UKA4	Q6PIJ6	Q6ZWJ1
Q9UNX9	Q7Z3H0	Q86UX7
Q9Y2E4	Q9BZA7	Q8ND25
A0A0G2JLW4	A0A1B0GTR4	Q9BTE6
A2VCK2	P08218	Q9BTF0
O94983	Q64LD2	Q9BXL8
P13682	Q8WXI2	Q9H211
P25490	O15255	Q9NXV2
P60409	O60542	A6NK89
P62684	Q7L0Q8	O00625
Q04721	O14944	P08887
Q13751	O60729	P29083
Q3T906	P51649	P49913
Q5VTR2	Q13427	P55011
Q6ZN04	Q6P461	Q08426
Q86WZ6	Q76N89	Q08ET2
Q8IUL8	Q9C098	Q12857
Q8N0Y2	Q9H8G2	Q4G0N8
Q8N143	Q9UK33	Q5TAA0
Q8N2R0	O43603	Q8IVL6
Q8N446	P0DV75	Q8N6C8
Q92547	P17900	Q8TF72
Q96JY6	Q12950	Q8WWH5
Q9BXR6	Q8TC71	Q92730
Q9BXX0	O14843	Q9HBW1
Q9C0D5	O15550	I3L3R5
Q9NRM6	P30281	P46939
Q9UK13	Q5S007	P55157
O15072	Q5VYM1	Q0VDF9
O75150	Q9NYJ1	Q6UN15
O95780	Q9Y324	Q86XN7
P08048	Q9Y3M8	Q8N490
P08069	P13489	Q969J5
P0C6A0	P16035	Q96I76
P49327	P35663	Q96M69
Q03112	Q9C0D6	Q96NY9
Q6ZN30	Q9H1H9	Q99439
Q7Z713	Q9Y6S9	Q9HAP2
Q8IZN3	A8MQT2	A0A0A0MS03
Q8N8Y5	O60927	A6NGN4
Q8NHX4	P17509	O43520
Q969S2	P35908	P01703
Q9NYF0	Q92833	P23760
Q9NYJ8	Q9H161	P42684
Q9Y490	Q9ULW8	Q00975
A6NDX5	Q92686	Q96A99
O43422	Q96NJ1	Q9H5Z1
O94953		Q9NQW5
P04731		Q9UJ99
P21246		Q9UM22
P22105		Q9Y5F9
P27701		Q9Y5S8
P37173		Q9Y5X9
P61968		O15297
P98153		O75663
Q13886		P07199
Q15415		P23470
Q16651		P48165
Q5SRH9		Q16543
Q6ZMY3		Q8N7B6
Q7Z3K3		Q9NQR7
Q86YJ5		Q9UKB5
Q8IZA0		Q9UPT5
Q8WTV1		A0A1B0GWH4
Q99684		O94901
Q9HCI7		P08319
Q9UKJ8		P56880
Q9Y337		Q14188
A8TX70		Q16877
O15391		Q32P44
O60308		Q8NFW8
O75081		Q92696
P19544		Q9NTU7
P35523		Q9Y426
P78364		Q9Y5F0
Q0VAF6		Q9Y5W7
Q13643		A0A0A0MT36
Q15796		A8MUP2
Q86VP1		Q15825
Q8N3J9		Q6P4F7
Q8N475		Q86WV1
Q8TCU4		Q8N3J2
Q8TF46		Q96IG2
Q969G2		Q9H8Y1
Q9BUL5		Q9NRJ4
Q9BYN7		Q9NWS0
Q9H3T3		Q9Y6G3
Q9NZF1		O14745
Q9UJW0		O15360
A5YKK6		O77932
O15060		P02776
O94855		P33151
O94886		P43121
O95391		Q8NE09
P01877		Q8TDQ0
P20151		I3L3L1
P49747		O15446
P57727		P18754
P98161		P20718
Q14D33		P59282
Q15746		P68133
Q5JSP0		Q15822
Q68DV7		Q32MK0
Q7L622		Q96II8
Q8N3T1		Q96LM6
Q8NEZ3		Q99250
Q8TDM5		Q9BZR8
Q92956		Q9P2K9
Q99676		I1YAP6
Q9BRP7		P23508
Q9BWV1		P55017
Q9H0B3		P62070
Q9P278		Q00403
Q9UID6		Q3KNS1
Q9UPR6		Q69YN4
Q9Y466		Q6ZMU1
A0PJX4		Q7Z7B8
A6NK53		Q86UB2
O14525		Q8N5W9
O60337		Q96PL5
O60635		Q9BQI9
O95521		Q9NQ31
O95630		Q9Y6R1
P01876		P49841
P03973		Q12923
P23458		Q13239
P35348		Q4LE39
P52740		Q6NSI8
P62877		Q6ZUT6
Q0VDD8		Q76G19
Q14995		Q8IZF0
Q2M2W7		Q8N573
Q5VUE5		Q8N8V4
Q6ZNE5		Q96DX5
Q6ZR52		Q9BZS1
Q86XN8		O60813
Q8IZ20		P04090
Q8TCT1		P18887
Q96NJ6		P41214
Q9NZK7		Q00653
Q9P021		Q6UXS0
Q9UPT6		Q6ZQY2
A8K0R7		Q86VF7
P00751		Q8IY82
P52742		Q8IZ52
Q0IIN9		Q8N9N2
Q13574		Q8TDM0
Q6ZSB9		Q8WXA8
Q6ZV77		Q96RN1
Q7Z3B3		Q9NRD9
Q8N328		A0AVT1
Q92802		O14503
Q96FV2		P59047
Q96HA4		Q12816
Q96I27		Q6PI26
Q96K83		Q8N3P4
Q9NRX4		Q9NZH6
A2RRD8		O95835
A6QL64		P22223
O14978		P43632
O15399		P48230
O60765		P52333
O95158		Q05084
P06213		Q5R3K3
P0DV60		Q86VP3
P17023		Q86WB7
P48200		Q8WUH2
P54107		Q969P0
Q13370		P12525
Q149N8		P15814
Q5T4S7		Q5H9R4
Q6ZN08		Q5SQS8
Q8IWV8		Q6GYQ0
Q8NDX6		Q8IUA7
Q8TE56		Q8N149
Q8WVV4		Q8NCM8
Q92622		Q9NY37
Q96SZ4		Q9UJT2
Q99558		A6NED2
Q9BWT1		O00519
Q9NWW7		P17480
Q9ULW2		Q15788
O43497		Q6Y2X3
O95863		Q8N8R5
P0CG23		Q9C0B5
P17039		Q9NRM2
P21854		Q9UL49
P51508		O15394
P56199		P02545
Q13536		P0DP73
Q14956		P69849
Q3MJ16		Q14008
Q685J3		Q14964
Q6ZMW2		Q86VM9
Q8IV04		Q8IX03
Q8N9P6		Q8NEX5
Q8TD23		Q8WWV6
Q96AQ9		Q92540
Q96Q91		Q9H094
Q9BXG8		Q9H7E2
Q9C0E4		Q9UPZ3
Q9NQX1		Q9Y238
Q9UKQ9		O95897
Q9XRX5		P16455
A0JP26		Q14624
O43909		Q4L235
P02452		Q5U5R9
P07202		Q6UX98
P08842		Q702N8
P0DP57		Q86VH2
P10646		Q96BS2
P29320		Q9H799
P41587		Q9HCK8
Q30KQ5		Q9NXD2
Q3LI83		Q9UBS4
Q6WCQ1		Q9Y6J0
Q7L3V2		O15403
Q8NA70		O95872
Q8ND94		P35557
Q8TDB6		Q16795
Q8TDI0		Q5JVF3
Q8TE49		Q6BDS2
Q96T92		Q6ZQT0
Q99469		Q6ZRX8
Q9NPR2		Q9BU89
Q9NUL5		Q9H813
Q9UQ26		Q9NP60
O43903		A0A1B0GX51
O95754		O75554
P51449		O76042
Q4V348		P09455
Q4VC44		Q13637
Q5JZY3		Q14721
Q6QN14		Q5H9R7
Q6ZNA1		Q86TL0
Q86SU0		Q8WXH0
Q86T29		Q96MM6
Q86VW2		Q9UPQ3
Q96HE9		Q9Y6B7
Q96T76		B3GLJ2
Q9BXU3		O00562
Q9HBG6		O15254
Q9NQV6		O15523
Q9UBU2		P20908
Q9UPV7		P54105
A6QL63		Q13769
O95361		Q14118
O95460		Q15884
O95786		Q495T6
P13385		Q6IQ32
P32320		Q6U841
Q2MV58		Q96DD7
Q5H9J9		Q9H5L6
Q68DQ2		A0A096LNP1
Q68DY1		A6NDU8
Q7Z7L9		A6NKW6
Q86UD4		A7E2U8
Q8WV37		C9JE40
Q96ME7		O60896
Q96P53		O95292
Q9BY66		P04278
Q9H156		P28347
Q9UNY5		P28906
A6NGD5		Q8N0U4
P09486		Q9UBM4
P17098		Q9Y5I4
P35442		O00534
P63128		O60500
Q02447		O96018
Q14159		P10720
Q4G0T1		Q08AF3
Q6GMV2		Q14563
Q7Z5P9		Q15669
Q8N690		Q2TAL8
Q8NCP5		Q6ZNI0
Q969Q1		Q8IZF6
Q96BD5		Q9BQS6
Q96JM4		P05166
Q96L96		P0DP74
Q99575		P43628
Q9BQB4		Q12767
Q9NV72		Q1W4C9
Q9NVP4		Q504Y0
Q9NXR8		Q6PI73
Q9UBG7		Q7RTS7
Q9UK23		Q8N9S9
Q9ULE0		Q8WYA1
C9J798		Q96G61
C9JLR9		Q9BYP7
O43313		Q9H0M4
O60503		Q9H4E7
P0C7P1		Q9NZS9
P43353		Q9Y263
P51523		P0DUB6
P63215		P22570
Q13422		P26232
Q14432		P43320
Q14525		P43629
Q3LHN2		P43631
Q5JT82		P47895
Q6ZNC4		Q5TFG8
Q6ZNG1		Q709C8
Q7Z333		Q86SJ2
Q8N393		Q86VR7
Q96SW2		Q86XP0
Q9BZE0		Q8N3F9
Q9NW64		Q96G91
Q9NZ20		Q9UF02
Q9UIE0		Q9ULK6
A0AAG2SUX2		E9PQ53
A6NM62		P05412
A8MX34		P20783
O14492		P21817
O15496		P23467
O60687		P43378
P01031		P52732
P20393		P54252
P52737		Q6VUC0
Q52M93		Q7Z5V6
Q5DID0		Q8N228
Q6ZRP0		Q8N441
Q7L5Y9		Q92674
Q8IX06		Q99758
Q8N680		Q9BVH7
Q8N865		Q9H8K7
Q96AY2		Q9P0J1
Q96FA3		A8MVW0
Q96MR9		O95857
Q9BS34		P04196
Q9HBX8		P0DTU3
Q9UDV7		P16234
Q9Y3Q7		P17813
O14981		Q14203
O43150		Q2T9K0
O43790		Q6P179
P08118		Q6RFH5
P27635		Q86VH4
P56270		Q8NCD3
Q07627		Q96QE5
Q13698		Q9NZH5
Q2LD37		Q9NZP8
Q569H4		Q9UDR5
Q6BEB4		Q9Y5L3
Q6ZTR6		O15353
Q969S8		O60312
Q9BQ04		O95977
Q9UC07		P01344
Q9UHC1		P49223
Q9Y4C4		Q13183
A6NHN0		Q13506
A8MWA4		Q15155
O15392		Q5T4I8
O95967		Q5VTA0
O95970		Q92871
P15882		Q969H4
P23409		Q9BW19
P29323		Q9BZG1
P49736		Q9H7D7
P59923		Q9HC38
Q5HYA8		Q9UM07
Q8N9H8		Q9UNS1
Q8TA86		P46459
Q8WXH5		P54922
Q8WXI3		Q92854
Q96EK4		Q9BX67
Q99075		Q9H3V2
Q99750		Q9NZV5
Q99814		Q9P1U1
Q9NUC0		Q9UQD0
Q9UPN9		Q9Y3I0
A8MTY0		A6NM43
P52943		O00305
P53667		P0CF97
Q05215		P28300
Q15776		P47883
Q4FZB7		P60508
Q6IQ21		Q4G0W2
Q8IZX4		Q8IYB7
Q8N6F7		Q8NFR9
Q8TF27		Q92754
Q8WYH8		Q9P2J2
Q92974		A6NMB1
Q96CS4		A6NMB9
Q96EZ4		A8MTJ6
Q9BXB1		P08631
Q9P2R6		P0DUQ1
O75151		P50336
P10071		P59665
P11215		Q15434
P11474		Q96JX3
P14410		Q9BQ69
P36888		Q9H694
P48357		Q9NQ34
P55198		Q9UN76
Q5JNZ3		Q9Y487
Q6P3W6		Q9Y5E2
Q6UXD5		O14967
Q86YT6		P09429
Q8IZF3		P24001
Q8NDH2		P51606
Q8NDP4		Q8N1N0
Q8WTP8		Q9Y4A8
Q9BRH9		Q9Y4G6
Q9BZC7		O94811
Q9P2F9		O95602
Q9UBP4		P01308
Q9UMF0		P14866
Q9UPQ4		P40197
O00154		P50993
O75541		Q2VWA4
O94933		Q6P7N7
P14543		Q8NAA4
P16415		Q92506
P21580		Q96S66
P62068		Q9H2P0
Q14012		Q9Y616
Q16610		A0A0C4DH68
Q5T7W7		A8MZ59
Q6P387		O15228
Q8IZM8		O75335
Q8NCW0		O94822
Q8WUB8		O94921
Q96J02		P06400
Q96L34		P32298
Q9BZZ2		Q00887
Q9H336		Q53H12
Q9NYG5		Q6SJ93
Q9UHL9		Q8N3E9
Q9UPQ0		Q99640
Q9Y2A4		Q9Y2G8
Q9Y2P0		Q9Y5E9
A0A1B0GVS7		O00115
A1L3X4		O75038
A1Z1Q3		O95744
A8K979		P16619
A8MPS7		P49590
O15063		Q5XXA6
O95718		Q8IVQ6
P0C0L4		Q8TD86
P36544		Q9BV73
Q08397		Q9HAU0
Q13224		Q9Y2L5
Q15697		Q9Y5F2
Q49AA0		Q9Y6H5
Q63HK3		A0A0K0K1E9
Q7Z408		O14523
Q7Z5A7		P15088
Q8N4Q1		Q3B726
Q9H1F0		Q6ZN68
Q9NUK0		Q6ZNJ1
Q9P2R3		Q9BQC3
Q9Y5R5		Q9H6B4
I3L0S3		Q9NX38
O43296		Q9NX46
O95450		Q9UF12
P07996		Q9UKJ3
P0C7H8		Q9Y5F3
P15328		P0DMQ9
P36508		P29728
P57071		Q6UWV7
P98095		Q6ZT07
Q06828		Q8IYV9
Q5T3F8		Q8NFZ6
Q6ZRI0		Q8TDN2
Q86XJ1		Q99717
Q8NFG4		Q9BVI4
Q8TF47		Q9BYC2
Q8WWF5		Q9H611
Q96MU5		Q9Y697
Q9BVR0		O60673
Q9BZV3		O75044
Q9NYT6		Q15572
Q9UKS7		Q16842
B7Z1M9		Q8IXV7
F5H094		Q8IYD2
